study_id,core_id,sample_id,depth_min,depth_max,c14_age,c14_age_se,c14_material,age,dry_bulk_density,fraction_organic_matter,fraction_carbon,method_id,site_id
Drexler_et_al_2009,FW,NA,64,66,NA,NA,NA,NA,0.275,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,102,104,NA,NA,NA,NA,0.098,0.844,0.438174,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,104,106,NA,NA,NA,NA,0.067,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,106,108,NA,NA,NA,NA,0.074,0.828,0.429358,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,108,110,NA,NA,NA,NA,0.082,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,110,112,NA,NA,NA,NA,0.052,0.8,0.41393,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,112,114,NA,NA,NA,NA,0.055,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,114,116,NA,NA,NA,NA,0.06,0.844,0.438174,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,116,118,NA,NA,NA,NA,0.049,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,118,120,NA,NA,NA,NA,0.061,0.796,0.411726,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,120,122,NA,NA,NA,NA,0.055,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,122,124,NA,NA,NA,NA,0.052,0.828,0.429358,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,124,126,NA,NA,NA,NA,0.066,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,126,128,NA,NA,NA,NA,0.068,0.776,0.400706,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,128,130,NA,NA,NA,NA,0.084,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,130,132,NA,NA,NA,NA,0.068,0.756,0.389686,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,132,134,NA,NA,NA,NA,0.077,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,134,136,NA,NA,NA,NA,0.115,0.528,0.264058,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,136,138,NA,NA,NA,NA,0.184,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,138,140,NA,NA,NA,NA,0.103,0.656,0.334586,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,140,142,NA,NA,NA,NA,0.093,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,142,144,NA,NA,NA,NA,0.088,0.664,0.338994,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,144,146,NA,NA,NA,NA,0.087,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,146,148,NA,NA,NA,NA,0.09,0.728,0.374258,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,148,150,NA,NA,NA,NA,0.067,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,150,152,NA,NA,NA,NA,0.079,0.736,0.378666,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,152,154,NA,NA,NA,NA,0.079,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,154,156,NA,NA,NA,NA,0.076,0.724,0.372054,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,156,158,NA,NA,NA,NA,0.062,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,158,160,NA,NA,NA,NA,0.055,0.76,0.39189,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,160,162,NA,NA,NA,NA,0.06,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,162,164,NA,NA,NA,NA,0.086,0.736,0.378666,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,164,166,NA,NA,NA,NA,0.072,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,166,168,NA,NA,NA,NA,0.056,0.776,0.400706,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,168,170,NA,NA,NA,NA,0.055,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,170,172,NA,NA,NA,NA,NA,0.84,0.43597,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,174,176,NA,NA,NA,NA,NA,0.852,0.442582,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,204,206,NA,NA,NA,NA,0.059,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,206,208,NA,NA,NA,NA,0.049,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,208,210,NA,NA,NA,NA,0.061,0.88,0.45801,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,210,212,NA,NA,NA,NA,0.049,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,212,214,NA,NA,NA,NA,0.054,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,214,216,NA,NA,NA,NA,0.043,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,216,218,NA,NA,NA,NA,0.037,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,218,220,NA,NA,NA,NA,0.043,0.896,0.466826,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,220,222,NA,NA,NA,NA,0.048,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,222,224,NA,NA,NA,NA,0.048,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,224,226,NA,NA,NA,NA,0.079,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,226,228,NA,NA,NA,NA,0.055,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,228,230,NA,NA,NA,NA,0.044,0.884,0.460214,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,230,232,NA,NA,NA,NA,0.058,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,232,234,NA,NA,NA,NA,0.064,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,234,236,NA,NA,NA,NA,0.051,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,236,238,NA,NA,NA,NA,0.054,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,238,240,NA,NA,NA,NA,0.082,0.928,0.484458,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D3-21B,240,242,1610,40,Plant fragment,1488,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,240,242,NA,NA,NA,NA,0.093,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,242,244,NA,NA,NA,NA,0.072,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,244,246,NA,NA,NA,NA,0.079,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,246,248,NA,NA,NA,NA,0.084,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,248,250,NA,NA,NA,NA,0.077,0.756,0.389686,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,250,252,NA,NA,NA,NA,0.062,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,252,254,NA,NA,NA,NA,0.076,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,254,256,NA,NA,NA,NA,0.076,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,256,258,NA,NA,NA,NA,0.082,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,258,260,NA,NA,NA,NA,0.067,0.7,0.35883,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,260,262,NA,NA,NA,NA,0.073,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,262,264,NA,NA,NA,NA,0.071,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,264,266,NA,NA,NA,NA,0.066,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,266,268,NA,NA,NA,NA,0.052,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,268,270,NA,NA,NA,NA,0.068,0.784,0.405114,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,270,272,NA,NA,NA,NA,0.062,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,272,274,NA,NA,NA,NA,0.063,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,274,276,NA,NA,NA,NA,0.053,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,276,278,NA,NA,NA,NA,0.072,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,278,280,NA,NA,NA,NA,0.06,0.796,0.411726,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,280,282,NA,NA,NA,NA,0.069,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,282,284,NA,NA,NA,NA,0.069,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,286,288,NA,NA,NA,NA,0.081,0.84,0.43597,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,302,304,NA,NA,NA,NA,0.082,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,304,306,NA,NA,NA,NA,0.088,0.684,0.350014,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,306,308,NA,NA,NA,NA,0.084,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,308,310,NA,NA,NA,NA,0.076147027,0.76,0.39189,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,310,312,NA,NA,NA,NA,0.073025765,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,312,314,NA,NA,NA,NA,0.071730146,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,314,316,NA,NA,NA,NA,0.078632512,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,316,318,NA,NA,NA,NA,0.074856644,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,318,320,NA,NA,NA,NA,0.068128381,0.844,0.438174,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,320,322,NA,NA,NA,NA,0.073160948,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,322,324,NA,NA,NA,NA,0.072846413,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,324,326,NA,NA,NA,NA,0.088321557,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,326,328,NA,NA,NA,NA,0.07831933,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,328,330,NA,NA,NA,NA,0.087566672,0.784,0.405114,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,330,332,NA,NA,NA,NA,0.094800988,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,332,334,NA,NA,NA,NA,0.094549359,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,334,336,NA,NA,NA,NA,0.084384791,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,336,338,NA,NA,NA,NA,0.085665242,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,338,340,NA,NA,NA,NA,0.090379613,0.84,0.43597,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,340,342,NA,NA,NA,NA,0.097626565,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,342,344,NA,NA,NA,NA,0.102124422,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,344,346,NA,NA,NA,NA,0.097338241,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,346,348,NA,NA,NA,NA,0.086439587,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,348,350,NA,NA,NA,NA,0.07502195,0.848,0.440378,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D4-26B,350,352,2530,40,Charcoal,2606,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,350,352,NA,NA,NA,NA,0.083152691,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,352,354,NA,NA,NA,NA,0.075419644,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,354,356,NA,NA,NA,NA,0.111069833,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,356,358,NA,NA,NA,NA,0.102555769,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,358,360,NA,NA,NA,NA,0.108049852,0.74,0.38087,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,360,362,NA,NA,NA,NA,0.100987601,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,362,364,NA,NA,NA,NA,0.089366764,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,364,366,NA,NA,NA,NA,0.094229831,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,366,368,NA,NA,NA,NA,0.087598375,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,368,370,NA,NA,NA,NA,0.0925246,0.74,0.38087,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,370,372,NA,NA,NA,NA,0.097198197,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,372,374,NA,NA,NA,NA,0.092398286,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,374,376,NA,NA,NA,NA,0.089879361,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,376,378,NA,NA,NA,NA,0.098688122,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,378,380,NA,NA,NA,NA,0.106404725,0.776,0.400706,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,380,382,NA,NA,NA,NA,0.100376129,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,382,384,NA,NA,NA,NA,0.090305694,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,384,386,NA,NA,NA,NA,0.085862939,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,386,388,NA,NA,NA,NA,0.100279147,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,388,390,NA,NA,NA,NA,0.111927444,0.616,0.312546,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,390,392,NA,NA,NA,NA,0.089668818,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,392,394,NA,NA,NA,NA,0.084619026,0.804,0.416134,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,394,396,NA,NA,NA,NA,0.079194848,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,402,404,NA,NA,NA,NA,0.081268181,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,404,406,NA,NA,NA,NA,0.091225768,0.776,0.400706,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,406,408,NA,NA,NA,NA,0.103796702,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,408,410,NA,NA,NA,NA,0.108813543,0.732,0.376462,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,410,412,NA,NA,NA,NA,0.090303131,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,412,414,NA,NA,NA,NA,0.083556345,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,414,416,NA,NA,NA,NA,0.090995109,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,416,418,NA,NA,NA,NA,0.085320176,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,418,420,NA,NA,NA,NA,0.080212962,0.844,0.438174,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,420,422,NA,NA,NA,NA,0.075829979,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,422,424,NA,NA,NA,NA,0.077455866,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,424,426,NA,NA,NA,NA,0.071153248,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,426,428,NA,NA,NA,NA,0.070951308,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,428,430,NA,NA,NA,NA,0.062795828,0.892,0.464622,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,430,432,NA,NA,NA,NA,0.064660328,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,432,434,NA,NA,NA,NA,0.062642156,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,434,436,NA,NA,NA,NA,0.062193289,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,436,438,NA,NA,NA,NA,0.062475729,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,438,440,NA,NA,NA,NA,0.059368889,0.912,0.475642,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,440,442,NA,NA,NA,NA,0.058126153,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,442,444,NA,NA,NA,NA,0.058352105,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,444,446,NA,NA,NA,NA,0.07790103,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,446,448,NA,NA,NA,NA,0.073856644,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,"FWC2D5-23A,24A",446.0000000000001,448.00000000000006,3140,35,Charcoal,3370,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,448,450,NA,NA,NA,NA,0.076798576,0.872,0.453602,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,450,452,NA,NA,NA,NA,0.059086449,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,452,454,NA,NA,NA,NA,0.057674249,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,454,456,NA,NA,NA,NA,0.063633442,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,456,458,NA,NA,NA,NA,0.061240054,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,458,460,NA,NA,NA,NA,0.053455302,0.932,0.486662,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,460,462,NA,NA,NA,NA,0.064757609,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,462,464,NA,NA,NA,NA,0.057549505,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,464,466,NA,NA,NA,NA,0.063231495,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,466,468,NA,NA,NA,NA,0.07045897,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,468,470,NA,NA,NA,NA,0.065231873,0.908,0.473438,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,470,472,NA,NA,NA,NA,0.06560327,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,472,474,NA,NA,NA,NA,0.060952957,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,474,476,NA,NA,NA,NA,0.067330442,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,476,478,NA,NA,NA,NA,0.058625223,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,478,480,NA,NA,NA,NA,0.065960882,0.9,0.46903,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,480,482,NA,NA,NA,NA,0.070446814,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,482,484,NA,NA,NA,NA,0.062306265,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,484,486,NA,NA,NA,NA,0.068858873,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,486,488,NA,NA,NA,NA,0.06954995,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,488,490,NA,NA,NA,NA,0.059286584,0.924,0.482254,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,490,492,NA,NA,NA,NA,0.061533461,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,492,494,NA,NA,NA,NA,0.074531095,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,502,504,NA,NA,NA,NA,0.100655672,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,504,506,NA,NA,NA,NA,0.080615809,0.848,0.440378,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,506,508,NA,NA,NA,NA,0.064020739,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,508,510,NA,NA,NA,NA,0.065899864,0.876,0.455806,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,510,512,NA,NA,NA,NA,0.071108122,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,512,514,NA,NA,NA,NA,0.059624305,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,514,516,NA,NA,NA,NA,0.068327512000000007,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,516,518,NA,NA,NA,NA,0.073269549,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,518,520,NA,NA,NA,NA,0.09733123,0.772,0.398502,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,520,522,NA,NA,NA,NA,0.083920248,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,522,524,NA,NA,NA,NA,0.075692336,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,524,526,NA,NA,NA,NA,0.097902229,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,526,528,NA,NA,NA,NA,0.107283994,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,528,530,NA,NA,NA,NA,0.106846148,0.768,0.396298,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,530,532,NA,NA,NA,NA,0.115870891,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,532,534,NA,NA,NA,NA,0.100884435,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,534,536,NA,NA,NA,NA,0.097533804,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,536,538,NA,NA,NA,NA,0.149681797,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,538,540,NA,NA,NA,NA,0.154128998,0.72,0.36985,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,540,542,NA,NA,NA,NA,0.142879647,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,542,544,NA,NA,NA,NA,0.18199691,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,544,546,NA,NA,NA,NA,0.162602787,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,546,548,NA,NA,NA,NA,0.155434438,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,548,550,NA,NA,NA,NA,0.099970626,0.748,0.385278,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D6-26A,550,552,4040,40,Achenes,4513,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,550,552,NA,NA,NA,NA,0.087847437,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,552,554,NA,NA,NA,NA,0.093452127,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,554,556,NA,NA,NA,NA,0.086202582,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,556,558,NA,NA,NA,NA,0.075480564,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,558,560,NA,NA,NA,NA,0.089857815,0.792,0.409522,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,560,562,NA,NA,NA,NA,0.094609618,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,562,564,NA,NA,NA,NA,0.105575317,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,564,566,NA,NA,NA,NA,0.092507182,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,566,568,NA,NA,NA,NA,0.091603321,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,568,570,NA,NA,NA,NA,0.097094297,0.624,0.316954,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,570,572,NA,NA,NA,NA,0.09053379,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,572,574,NA,NA,NA,NA,0.087131565,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,574,576,NA,NA,NA,NA,0.091514092,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,576,578,NA,NA,NA,NA,0.113599724,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,578,580,NA,NA,NA,NA,0.10973618,0.76,0.39189,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,580,582,NA,NA,NA,NA,0.093013378,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,582,584,NA,NA,NA,NA,0.117866922,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,584,586,NA,NA,NA,NA,0.151716179,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,586,588,NA,NA,NA,NA,0.22281692,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,588,590,NA,NA,NA,NA,0.248203939,0.312,0.145042,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,590,592,NA,NA,NA,NA,0.209118929,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,592,594,NA,NA,NA,NA,0.187373905,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D6-48A,594.0000000000001,596.0000000000001,4435,35,Achenes,5034,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D6-49A,596.0000000000001,598,4470,35,Achenes,5160,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,604,606,NA,NA,NA,NA,0.090140349,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,FWC2D7-4A,606,608,4710,35,Achenes,5440,NA,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,606,608,NA,NA,NA,NA,0.065224874,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,608,610,NA,NA,NA,NA,0.066258911,0.868,0.451398,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,610,612,NA,NA,NA,NA,0.068814222,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,612,614,NA,NA,NA,NA,0.072689178,NA,NA,single set of methods,Franks Wetland
Drexler_et_al_2009,FW,NA,614,616,NA,NA,NA,NA,0.070434528,NA,NA,single set of methods,Franks Wetland
