"[ID, identification; cm, centimeter; N, number of times a single sample was run;  _m, micron; %, percent; _, phi particle size scale, mm; millimeters; g, gram; QA, quality assurance; QC, quality control;  T, QA guidelines were not met by the lab, if no concentration is reported, then the QC problem was judged to be severve enough to invalidate the results, if a concentration is reported it is to be used with discretion; D, there was insufficient material for analysis; 0, passed QA/QC inspection; nem, not enough material]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE ID,DEPTH (cm),"SEDIMENT TEXTURE (Folk, 1954)",NUMBER OF RUNS (N),"MEAN GRAIN SIZE  (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SORTING (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SKEWNESS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","KURTOSIS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","MEAN GRAIN SIZE  (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SORTING (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SKEWNESS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","KURTOSIS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","MEAN GRAIN SIZE (Folk and Ward, Descriptive)","SORTING (Folk and Ward, Descriptive)","SKEWNESS (Folk and Ward, Descriptive)","KURTOSIS (Folk and Ward, Descriptive)","D10  (µm)",STANDARD DEVIATION D10 (µm),"D50  (µm)",STANDARD DEVIATION D50  (µm),"D90  (µm)",STANDARD DEVIATION D90  (µm),% SAND,STANDARD DEVIATION (%),% MUD,STANDARD DEVIATION (%),% VERY COARSE SAND,% COARSE SAND,% MEDIUM SAND,% FINE SAND,% VERY FINE SAND,% VERY COARSE SILT,% COARSE SILT,% MEDIUM SILT,% FINE SILT,% VERY FINE SILT,% CLAY,Coarse Flag > 1mm (g),QA/QC Flag,
15BIM09-DA236SfrDA235,Surface Sample,Sand,N=6,384.89,0.69,1.422,0.004,-0.020,0.004,1.010,0.002,1.377,0.003,0.508,0.004,0.020,0.004,1.010,0.002,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,244.00,1.41,385.43,0.83,601.99,2.68,99.5%,0.0%,0.5%,0.0%,0.1%,22.8%,65.9%,10.4%,0.4%,0.1%,0.0%,0.0%,0.0%,0.1%,0.2%,0.000,0,
15BIM09-DA237G,Surface Sample,Sand,N=8,262.07,1.07,1.620,0.003,0.077,0.003,1.063,0.007,1.932,0.006,0.696,0.003,-0.077,0.003,1.063,0.007,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,145.60,0.39,254.71,0.68,500.99,3.83,97.8%,0.0%,2.2%,0.0%,0.1%,10.0%,41.6%,42.6%,3.6%,0.4%,0.3%,0.3%,0.3%,0.3%,0.7%,0.000,0,
15BIM09-DA238G,Surface Sample,Sand,N=8,278.08,4.65,2.219,0.077,-0.143,0.011,1.566,0.119,1.847,0.024,1.149,0.050,0.143,0.011,1.566,0.119,Medium Sand,Poorly Sorted,Fine Skewed,Leptokurtic,126.86,4.23,265.59,5.71,599.37,7.28,93.6%,0.4%,6.4%,0.4%,0.3%,17.5%,35.9%,36.6%,3.3%,1.2%,1.1%,1.0%,1.0%,0.8%,1.4%,0.000,0,
15BIM09-DA239G,Surface Sample,Muddy Sand,N=8,52.37,10.13,5.091,0.027,-0.460,0.015,1.216,0.174,4.282,0.283,2.348,0.008,0.460,0.015,1.216,0.174,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.60,0.78,84.22,15.70,285.79,88.09,57.7%,5.3%,42.3%,5.3%,0.2%,3.9%,5.4%,25.7%,22.5%,13.3%,7.7%,5.8%,4.8%,3.8%,6.9%,0.000,0,
15BIM09-DA240G,Surface Sample,Sandy Mud,N=8,13.26,0.16,5.439,0.015,-0.140,0.002,0.902,0.004,6.236,0.018,2.443,0.004,0.140,0.002,0.902,0.004,Medium Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,1.24,0.01,16.06,0.19,107.94,1.70,18.2%,0.2%,81.8%,0.2%,0.0%,0.7%,1.5%,6.1%,10.0%,16.4%,16.0%,13.4%,11.6%,8.9%,15.5%,0.000,0,
15BIM09-DA241G,Surface Sample,Sandy Mud,N=8,15.03,0.29,5.729,0.036,-0.159,0.003,0.885,0.007,6.056,0.028,2.518,0.009,0.159,0.003,0.885,0.007,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.27,0.01,18.66,0.30,128.33,3.27,21.9%,0.5%,78.1%,0.5%,0.0%,1.0%,2.0%,7.3%,11.5%,17.2%,14.7%,12.1%,10.8%,8.4%,15.0%,0.000,0,
15BIM09-DA242G,Surface Sample,Sandy Mud,N=8,12.82,0.53,7.254,0.036,0.004,0.015,0.685,0.006,6.287,0.059,2.859,0.007,-0.004,0.015,0.685,0.006,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.98,0.02,12.55,0.80,161.67,3.70,27.0%,1.1%,73.0%,1.1%,0.0%,0.5%,2.4%,12.7%,11.4%,9.6%,10.1%,10.5%,11.0%,10.1%,21.8%,0.000,0,
15BIM09-DA243G,Surface Sample,Sandy Mud,N=8,18.74,4.78,7.599,0.219,-0.121,0.115,0.690,0.009,5.786,0.376,2.925,0.042,0.121,0.115,0.690,0.009,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.10,0.09,23.58,9.78,209.11,35.93,36.39%,6.5%,63.6%,6.5%,0.0%,0.8%,6.0%,17.0%,12.6%,8.3%,8.5%,9.7%,10.4%,8.6%,18.0%,0.000,T,
15BIM09-DA244G,Surface Sample,Sand/Muddy Sand,N=8,236.66,10.07,2.705,0.074,-0.333,0.011,1.986,0.067,2.080,0.061,1.435,0.040,0.333,0.011,1.986,0.067,Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,71.99,16.65,244.07,12.77,508.49,14.91,90.6%,0.8%,9.4%,0.8%,0.0%,10.7%,37.9%,34.5%,7.4%,1.5%,1.3%,1.4%,1.6%,1.3%,2.4%,0.000,0,
15BIM09-DA245G,Surface Sample,Sand,N=8,408.00,0.44,1.447,0.002,-0.062,0.003,1.045,0.003,1.293,0.002,0.533,0.002,0.062,0.003,1.045,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,250.62,0.37,411.29,0.51,643.44,1.73,99.1%,0.0%,0.9%,0.0%,0.1%,29.1%,60.9%,8.6%,0.5%,0.1%,0.1%,0.1%,0.1%,0.1%,0.3%,0.000,0,
15BIM09-DA246S,Surface Sample,Sand,N=6,442.22,1.34,1.275,0.001,0.006,0.001,0.941,0.001,1.177,0.004,0.351,0.001,-0.006,0.001,0.941,0.001,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,324.46,0.61,442.27,1.33,607.77,2.40,100.0%,0.0%,0.0%,0.0%,0.0%,31.6%,68.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA247S,Surface Sample,Sand,N=6,457.49,0.48,1.408,0.002,-0.022,0.003,1.017,0.003,1.128,0.002,0.494,0.002,0.022,0.003,1.017,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,294.02,0.57,457.88,0.35,705.14,2.22,99.4%,0.0%,0.6%,0.0%,0.5%,39.3%,55.4%,3.8%,0.3%,0.1%,0.1%,0.1%,0.0%,0.1%,0.2%,0.021,0,
15BIM09-DA248S,Surface Sample,Sand,N=6,380.54,6.54,1.411,0.010,0.053,0.009,1.028,0.008,1.394,0.025,0.496,0.010,-0.053,0.009,1.028,0.008,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,248.27,2.34,377.24,6.37,599.76,14.97,99.8%,0.3%,0.2%,0.3%,0.7%,20.4%,68.4%,9.8%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.034,0,
15BIM09-DA249S,Surface Sample,Sand,N=6,548.17,1.93,1.328,0.002,-0.032,0.002,0.969,0.002,0.867,0.005,0.409,0.002,0.032,0.002,0.969,0.002,Coarse Sand,Well Sorted,Symmetrical,Mesokurtic,377.97,0.58,550.28,2.08,785.19,4.25,100.0%,0.0%,0.0%,0.0%,0.6%,62.2%,36.3%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA251G,Surface Sample,Sand,N=8,159.64,0.51,1.741,0.031,-0.260,0.020,1.726,0.085,2.647,0.005,0.800,0.026,0.260,0.020,1.726,0.085,Fine Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,79.99,1.27,164.85,0.30,268.07,0.88,92.7%,0.3%,7.3%,0.3%,0.0%,1.6%,11.8%,61.0%,18.2%,2.5%,1.1%,0.8%,0.7%,0.7%,1.5%,0.000,0,
15BIM09-DA252G,Surface Sample,Muddy Sand,N=8,128.39,2.35,2.832,0.031,-0.351,0.010,2.481,0.056,2.962,0.026,1.502,0.016,0.351,0.010,2.481,0.056,Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,23.77,1.22,142.95,2.72,341.15,9.91,83.8%,0.2%,16.2%,0.2%,0.1%,4.7%,9.8%,45.3%,23.9%,5.3%,2.5%,2.0%,1.9%,1.5%,3.0%,0.000,0,
15BIM09-DA253G,Surface Sample,Muddy Sand,N=8,49.15,1.78,5.172,0.025,-0.443,0.013,1.252,0.040,4.348,0.052,2.371,0.007,0.443,0.013,1.252,0.040,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.39,0.14,79.34,1.63,229.66,12.62,56.9%,0.7%,43.1%,0.7%,0.5%,3.0%,5.0%,23.8%,24.5%,14.4%,7.4%,5.6%,4.8%,3.9%,7.0%,0.000,0,
15BIM09-DA254G,Surface Sample,Sandy Mud,N=8,24.47,1.50,6.741,0.146,-0.170,0.013,0.851,0.009,5.355,0.088,2.753,0.031,0.170,0.013,0.851,0.009,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.55,0.03,30.84,2.58,215.17,16.82,36.7%,1.9%,63.3%,1.9%,0.4%,2.4%,5.2%,14.6%,14.1%,13.0%,11.9%,10.3%,9.0%,6.9%,12.1%,0.000,0,
15BIM09-DA255G,Surface Sample,Muddy Sand,N=8,122.94,15.04,3.910,0.055,-0.411,0.044,2.096,0.046,3.035,0.177,1.967,0.020,0.411,0.044,2.096,0.046,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,10.94,0.86,153.74,10.42,430.05,60.68,80.00%,1.4%,20.0%,1.4%,1.0%,6.4%,17.1%,37.0%,18.5%,4.8%,3.6%,3.1%,2.5%,2.1%,4.0%,0.051,T,
15BIM09-DA257G,Surface Sample,Muddy Sand/Sand,N=8,228.60,3.55,2.376,0.113,-0.380,0.020,2.969,0.086,2.129,0.022,1.247,0.069,0.380,0.020,2.969,0.086,Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,67.42,30.75,236.67,1.32,409.95,2.46,89.98%,1.1%,10.0%,1.1%,0.0%,4.7%,40.0%,42.1%,3.3%,1.4%,1.7%,1.7%,1.5%,1.2%,2.4%,0.000,0,
15BIM09-DA258GfrDA257,Surface Sample,Muddy Sand,N=8,196.49,1.34,2.511,0.008,-0.448,0.006,3.250,0.021,2.348,0.010,1.328,0.005,0.448,0.006,3.250,0.021,Fine Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,24.91,0.98,209.68,1.07,347.58,4.23,87.79%,0.1%,12.2%,0.1%,0.0%,2.4%,30.0%,50.4%,5.0%,1.8%,2.0%,2.0%,1.9%,1.5%,3.1%,0.000,0,
15BIM09-DA259G,Surface Sample,Sand,N=8,237.66,1.15,1.430,0.004,0.055,0.008,1.134,0.005,2.073,0.007,0.516,0.004,-0.055,0.008,1.134,0.005,Fine Sand,Moderately Well Sorted,Symmetrical,Leptokurtic,154.35,0.61,235.67,0.94,377.59,3.40,98.0%,0.1%,2.0%,0.1%,0.1%,3.7%,39.1%,53.0%,2.0%,0.3%,0.2%,0.2%,0.3%,0.3%,0.8%,0.000,0,
15BIM09-DA260G,Surface Sample,Sandy Mud,N=8,15.48,4.41,5.638,0.417,-0.049,0.007,0.891,0.062,6.074,0.422,2.491,0.107,0.049,0.007,0.891,0.062,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.40,0.18,15.96,3.98,140.27,37.07,22.04%,6.8%,78.0%,6.8%,0.0%,0.6%,2.1%,10.4%,9.0%,12.4%,15.0%,14.9%,12.6%,8.9%,14.1%,0.000,0,
15BIM09-DA261G,Surface Sample,Sandy Mud,N=8,17.26,0.38,5.576,0.148,-0.165,0.010,0.893,0.005,5.857,0.031,2.479,0.038,0.165,0.010,0.893,0.005,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.42,0.06,20.56,0.57,135.68,4.33,24.2%,0.4%,75.8%,0.4%,0.0%,0.4%,1.0%,10.1%,12.6%,16.1%,16.0%,12.5%,10.2%,7.6%,13.3%,0.000,0,
15BIM09-DA262G,Surface Sample,Sandy Mud,N=8,26.15,1.60,4.827,0.017,-0.438,0.012,0.929,0.002,5.260,0.089,2.271,0.005,0.438,0.012,0.929,0.002,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.01,0.13,41.17,2.91,129.71,5.73,35.9%,2.4%,64.1%,2.4%,0.0%,0.0%,0.1%,11.0%,24.8%,20.8%,11.5%,8.7%,7.5%,5.8%,9.8%,0.000,0,
15BIM09-DA263G,Surface Sample,Sandy Mud,N=8,14.84,0.22,6.379,0.089,-0.163,0.002,0.705,0.003,6.074,0.021,2.673,0.020,0.163,0.002,0.705,0.003,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.10,0.01,18.24,0.34,133.66,3.75,29.9%,0.5%,70.1%,0.5%,0.0%,0.1%,0.3%,11.2%,18.2%,12.3%,10.1%,9.9%,10.7%,9.1%,18.0%,0.000,0,
15BIM09-DA264G,Surface Sample,Sand,N=8,337.24,6.16,1.638,0.006,-0.098,0.017,0.924,0.012,1.568,0.026,0.712,0.005,0.098,0.017,0.924,0.012,Medium Sand,Moderately Sorted,Symmetrical,Mesokurtic,173.10,2.73,347.57,8.02,616.82,5.26,98.9%,0.0%,1.1%,0.0%,0.2%,22.1%,49.8%,25.1%,1.7%,0.2%,0.1%,0.1%,0.1%,0.1%,0.4%,0.000,0,
15BIM09-DA266G,Surface Sample,Muddy Sand,N=8,166.09,10.08,4.190,0.291,-0.481,0.021,1.556,0.041,2.593,0.088,2.064,0.101,0.481,0.021,1.556,0.041,Fine Sand,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,14.32,3.59,228.69,2.24,579.89,8.57,80.0%,1.4%,20.0%,1.4%,0.8%,14.5%,30.9%,25.0%,8.7%,6.0%,3.4%,2.8%,2.4%,2.0%,3.4%,0.102,0,
15BIM09-DA267G,Surface Sample,Sand,N=8,250.27,3.88,1.737,0.010,0.025,0.008,0.942,0.006,1.999,0.022,0.797,0.008,-0.025,0.008,0.942,0.006,Medium Sand,Moderately Sorted,Symmetrical,Mesokurtic,125.06,2.66,245.18,4.83,509.26,3.67,97.4%,0.2%,2.6%,0.2%,0.0%,10.7%,38.0%,41.3%,7.4%,0.6%,0.3%,0.3%,0.3%,0.3%,0.8%,0.000,0,
15BIM09-DA268G,Surface Sample,Muddy Sand,N=8,254.98,17.16,2.776,0.273,-0.398,0.080,2.014,0.134,1.975,0.098,1.466,0.142,0.398,0.080,2.014,0.134,Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,49.96,14.32,293.88,4.10,594.67,31.93,88.3%,1.9%,11.7%,1.9%,3.0%,13.3%,44.1%,22.6%,5.3%,3.8%,2.2%,1.5%,1.3%,1.1%,1.8%,0.000,0,
15BIM09-DA269GfrDA268,Surface Sample,Muddy Sand,N=8,105.84,14.15,5.402,0.597,-0.543,0.003,1.250,0.162,3.253,0.194,2.425,0.160,0.543,0.003,1.250,0.162,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,6.21,1.66,182.75,11.95,485.77,5.44,71.7%,3.5%,28.3%,3.5%,0.9%,8.4%,27.2%,25.9%,9.3%,6.9%,5.3%,4.3%,3.7%,2.9%,5.1%,0.028,0,
15BIM09-DA270G,Surface Sample,Sandy Mud,N=8,14.32,1.79,6.643,0.066,-0.084,0.061,0.699,0.009,6.137,0.181,2.732,0.014,0.084,0.061,0.699,0.009,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.08,0.05,15.94,3.33,143.54,9.19,29.25%,3.6%,70.8%,3.6%,0.0%,0.4%,1.1%,12.2%,15.5%,10.4%,10.3%,10.6%,11.3%,9.5%,18.7%,0.000,T,
15BIM09-DA271G,Surface Sample,Muddy Sand,N=8,50.44,8.32,5.573,0.448,-0.680,0.008,1.157,0.286,4.329,0.240,2.474,0.116,0.680,0.008,1.157,0.286,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.39,0.55,112.02,11.42,224.32,11.67,66.31%,5.0%,33.7%,5.0%,0.0%,1.2%,5.6%,37.4%,22.2%,5.5%,4.6%,4.8%,5.1%,4.6%,9.1%,0.000,T,
15BIM09-DA272G,Surface Sample,Muddy Sand,N=8,133.06,21.70,3.752,0.578,-0.630,0.051,3.183,0.144,2.929,0.237,1.890,0.224,0.630,0.051,3.183,0.144,Fine Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,6.86,1.49,191.61,0.49,336.89,9.10,82.61%,1.6%,17.4%,1.6%,0.0%,1.8%,25.3%,49.1%,6.4%,2.1%,2.1%,2.5%,2.9%,2.7%,5.1%,0.000,T,
15BIM09-DA273G,Surface Sample,Sand,N=8,486.88,1.22,1.459,0.003,-0.042,0.003,1.028,0.007,1.038,0.004,0.545,0.003,0.042,0.003,1.028,0.007,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,297.68,0.35,489.03,1.17,780.47,4.23,99.1%,0.0%,0.9%,0.0%,2.0%,45.6%,47.3%,3.9%,0.3%,0.1%,0.1%,0.1%,0.1%,0.2%,0.3%,0.024,0,
15BIM09-DA274G,Surface Sample,Sand,N=8,359.67,3.23,1.609,0.003,-0.115,0.004,1.010,0.003,1.475,0.013,0.686,0.002,0.115,0.004,1.010,0.003,Medium Sand,Moderately Well Sorted,Fine Skewed,Mesokurtic,187.17,1.53,370.70,2.90,638.44,7.17,98.9%,0.0%,1.1%,0.0%,0.3%,24.5%,53.1%,19.5%,1.5%,0.2%,0.1%,0.1%,0.1%,0.1%,0.4%,0.000,0,
15BIM09-DA275G,Surface Sample,Muddy Sand,N=8,93.12,2.26,2.896,0.032,-0.459,0.019,2.092,0.013,3.425,0.035,1.534,0.016,0.459,0.019,2.092,0.013,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,12.11,1.31,109.97,0.90,215.28,3.92,76.4%,0.5%,23.6%,0.5%,0.0%,1.0%,5.2%,34.9%,35.3%,9.4%,3.2%,2.7%,2.5%,2.3%,3.5%,0.000,0,
15BIM09-DA276G,Surface Sample,Muddy Sand,N=8,112.44,0.78,3.887,0.126,-0.352,0.013,1.512,0.018,3.153,0.010,1.958,0.047,0.352,0.013,1.512,0.018,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,10.40,0.31,131.94,0.52,393.74,18.92,74.6%,0.3%,25.4%,0.3%,0.5%,4.2%,20.4%,27.1%,22.3%,9.9%,3.7%,3.0%,2.6%,2.3%,3.9%,0.000,0,
15BIM09-DA277G,Surface Sample,Muddy Sand,N=8,78.83,14.48,4.628,0.330,-0.436,0.017,1.333,0.069,3.690,0.268,2.207,0.103,0.436,0.017,1.333,0.069,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,6.08,1.66,111.59,18.04,328.08,25.38,65.4%,4.2%,34.6%,4.2%,0.0%,3.5%,14.8%,28.0%,19.1%,12.8%,6.0%,4.2%,3.5%,2.9%,5.3%,0.000,0,
15BIM09-DA278G,Surface Sample,Muddy Sand,N=8,130.70,5.89,6.007,0.071,-0.604,0.029,1.259,0.059,2.937,0.066,2.587,0.017,0.604,0.029,1.259,0.059,Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,5.80,0.13,254.23,19.09,632.92,11.94,74.95%,0.7%,25.0%,0.7%,0.9%,18.8%,30.8%,18.2%,6.2%,4.6%,4.7%,4.2%,3.5%,2.8%,5.3%,0.000,0,
15BIM09-DA279G,Surface Sample,Muddy Sand,N=8,32.37,10.40,7.497,0.329,-0.404,0.232,0.704,0.039,5.028,0.481,2.905,0.063,0.404,0.232,0.704,0.039,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.37,0.19,68.39,40.73,251.69,15.78,49.09%,7.4%,50.9%,7.4%,0.0%,1.6%,8.8%,29.2%,9.5%,6.4%,6.9%,7.8%,8.5%,7.1%,14.1%,0.000,T,
15BIM09-DA280GfrDA279,Surface Sample,Sandy Mud,N=8,18.86,2.68,7.704,0.069,-0.090,0.073,0.660,0.006,5.743,0.206,2.946,0.013,0.090,0.073,0.660,0.006,Coarse Silt,Very Poorly Sorted,Symmetrical,Very Platykurtic,1.12,0.05,21.17,5.40,216.20,16.24,36.99%,3.9%,63.0%,3.9%,0.0%,0.9%,5.4%,21.4%,9.2%,7.7%,8.7%,9.8%,10.7%,8.7%,17.4%,0.000,T,
15BIM09-DA281G,Surface Sample,Sand,N=8,283.89,0.63,1.732,0.008,-0.159,0.005,0.944,0.003,1.817,0.003,0.792,0.006,0.159,0.005,0.944,0.003,Medium Sand,Moderately Sorted,Fine Skewed,Mesokurtic,133.14,0.38,300.36,0.60,544.88,4.39,97.8%,0.0%,2.2%,0.0%,0.1%,14.0%,47.7%,30.0%,6.0%,0.6%,0.3%,0.2%,0.2%,0.3%,0.7%,0.000,0,
15BIM09-DA282G,Surface Sample,Sandy Mud,N=8,7.77,0.67,5.910,0.274,0.092,0.006,0.832,0.012,7.013,0.124,2.562,0.067,-0.092,0.006,0.832,0.012,Fine Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.90,0.01,7.30,0.59,99.16,14.20,14.26%,1.7%,85.7%,1.7%,0.0%,0.3%,1.5%,5.9%,6.5%,9.5%,11.8%,13.0%,14.2%,12.1%,25.2%,0.000,0,
15BIM09-DA283G,Surface Sample,Muddy Sand,N=8,68.74,8.19,6.937,0.615,-0.777,0.015,0.922,0.170,3.873,0.173,2.789,0.128,0.777,0.015,0.922,0.170,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.25,0.48,202.82,11.68,350.45,1.37,67.6%,4.4%,32.4%,4.4%,0.0%,1.9%,32.6%,29.5%,3.5%,3.5%,4.1%,4.8%,5.5%,5.0%,9.4%,0.000,0,
15BIM09-DA284G,Surface Sample,Sand,N=8,408.90,3.78,2.280,0.045,-0.468,0.012,2.743,0.088,1.290,0.013,1.189,0.028,0.468,0.012,2.743,0.088,Medium Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,166.06,3.24,442.04,2.58,705.63,8.60,93.7%,0.2%,6.3%,0.2%,0.7%,36.7%,45.9%,9.1%,1.3%,0.6%,0.8%,0.9%,1.2%,1.0%,1.8%,0.000,0,
15BIM09-DA285G,Surface Sample,Sand,N=8,476.38,2.16,1.476,0.007,-0.083,0.011,1.074,0.007,1.070,0.007,0.562,0.006,0.083,0.011,1.074,0.007,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,283.40,3.57,481.43,1.44,762.85,5.34,98.8%,0.1%,1.2%,0.1%,1.6%,44.4%,47.5%,5.1%,0.3%,0.1%,0.1%,0.1%,0.2%,0.2%,0.4%,0.025,0,
15BIM09-DA286G,Surface Sample,Sand,N=8,424.37,1.23,1.474,0.003,-0.082,0.003,1.066,0.003,1.237,0.004,0.559,0.003,0.082,0.003,1.066,0.003,Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,252.59,0.31,429.53,1.12,679.06,3.49,99.4%,0.0%,0.6%,0.0%,0.5%,33.4%,56.5%,8.5%,0.5%,0.1%,0.1%,0.1%,0.0%,0.1%,0.2%,0.019,0,
15BIM09-DA287G,Surface Sample,Muddy Sand,N=8,141.00,0.93,2.229,0.050,-0.276,0.011,1.986,0.045,2.826,0.009,1.156,0.033,0.276,0.011,1.986,0.045,Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic,54.85,2.16,145.50,0.49,285.60,0.75,88.5%,0.4%,11.5%,0.4%,0.0%,1.8%,13.0%,47.0%,26.7%,4.4%,1.5%,1.2%,1.2%,1.0%,2.0%,0.000,0,
15BIM09-DA288G,Surface Sample,Sandy Mud,N=8,24.17,3.98,6.229,0.392,-0.196,0.005,0.856,0.003,5.390,0.239,2.636,0.091,0.196,0.005,0.856,0.003,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.64,0.13,30.55,5.63,199.74,41.29,34.2%,4.6%,65.8%,4.6%,0.0%,1.6%,4.7%,13.7%,14.3%,15.1%,12.5%,10.5%,9.1%,6.9%,11.7%,0.000,0,
15BIM09-DA289G,Surface Sample,Sandy Mud,N=8,35.76,0.47,7.899,0.241,-0.130,0.017,0.774,0.003,4.806,0.019,2.981,0.044,0.130,0.017,0.774,0.003,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.83,0.03,40.17,0.57,408.87,25.51,42.53%,0.3%,57.5%,0.3%,0.2%,5.3%,15.6%,12.6%,8.8%,12.1%,10.8%,9.3%,8.4%,6.4%,10.5%,0.000,0,
15BIM09-DA290G,Surface Sample,Sand,N=8,285.69,5.62,2.100,0.169,-0.262,0.037,1.631,0.220,1.808,0.028,1.066,0.117,0.262,0.037,1.631,0.220,Medium Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic,123.37,7.43,295.51,5.30,570.70,6.30,94.1%,0.7%,5.9%,0.7%,0.4%,15.1%,46.1%,28.1%,4.3%,1.0%,0.7%,0.8%,0.9%,0.8%,1.7%,0.000,0,
15BIM09-DA291GfrDA290,Surface Sample,Muddy Sand/Sand,N=8,272.58,14.64,2.935,0.233,-0.410,0.027,1.981,0.059,1.877,0.078,1.549,0.115,0.410,0.027,1.981,0.059,Medium Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,55.16,21.63,304.23,8.01,635.20,9.41,89.2%,1.6%,10.8%,1.6%,1.4%,18.9%,40.4%,23.1%,5.4%,2.3%,1.8%,1.5%,1.5%,1.3%,2.4%,0.000,0,
15BIM09-DA292G,Surface Sample,Muddy Sand,N=7,92.61,1.97,5.505,0.087,-0.773,0.002,2.267,0.116,3.433,0.031,2.461,0.023,0.773,0.002,2.267,0.116,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,3.76,0.17,219.53,0.98,359.71,2.63,76.9%,0.3%,23.1%,0.3%,0.0%,1.9%,36.2%,35.6%,3.1%,2.4%,3.0%,3.7%,3.8%,3.4%,6.8%,0.000,0,
15BIM09-DA293G,Surface Sample,Sand,N=8,153.19,0.82,2.061,0.006,-0.225,0.003,1.881,0.006,2.707,0.008,1.043,0.004,0.225,0.003,1.881,0.006,Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic,66.66,0.36,156.21,0.65,304.70,3.09,90.7%,0.1%,9.3%,0.1%,0.0%,2.0%,15.1%,50.8%,22.9%,3.4%,1.2%,1.0%,1.0%,0.9%,1.8%,0.000,0,
