study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,delta_c13
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,58,60,NA,0.64,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,60,62,NA,0.59,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,62,64,NA,0.61,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,64,66,NA,0.53,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,66,68,NA,0.63,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,68,70,NA,0.48,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,70,72,NA,0.53,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,72,74,NA,0.46,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,74,76,NA,0.33,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,76,78,NA,0.41,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,78,80,NA,0.39,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,80,82,NA,0.36,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,82,84,NA,0.39,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,84,86,NA,0.32,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,86,88,NA,0.31,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_1,single set of methods,88,90,NA,0.24,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,0,2,NA,0.23,0.71,0.74,0.14,disintegrationsPerMinutePerGram,12.78,0.96,13.27,0.96,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,2,4,NA,0.2,0.7,NA,NA,NA,10.61,0.92,11.11,0.92,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,4,6,NA,0.25,0.67,0.66,0.06,disintegrationsPerMinutePerGram,8.61,0.86,9.11,0.86,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,6,8,NA,0.23,0.64,NA,NA,NA,7.25,0.52,7.74,0.52,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,8,10,NA,0.31,0.62,3.1,0.14,disintegrationsPerMinutePerGram,6.88,0.5,7.38,0.49,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,10,12,NA,0.33,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,12,14,NA,0.32,0.62,NA,NA,NA,4.34,0.37,4.84,0.37,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,14,16,NA,0.37,0.61,NA,NA,NA,4.07,0.32,4.57,0.32,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,16,18,NA,0.32,0.62,NA,NA,NA,2.91,0.26,3.4,0.26,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,18,20,NA,0.29,0.59,0.87,0.08,disintegrationsPerMinutePerGram,2.61,0.22,3.11,0.21,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,20,22,NA,0.33,0.65,NA,NA,NA,1.96,0.18,2.45,0.18,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,22,24,NA,0.26,0.66,NA,NA,NA,1.66,0.17,2.15,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,24,26,NA,0.33,0.64,NA,NA,NA,0.89,0.12,1.39,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,26,28,NA,0.31,0.64,NA,NA,NA,0.58,0.14,1.07,0.13,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,28,30,NA,0.4,0.67,NA,NA,NA,0.39,0.18,0.89,0.18,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,30,32,NA,0.45,0.65,NA,NA,NA,0.21,0.11,0.7,0.1,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,32,34,NA,0.4,0.57,NA,NA,NA,0,0.08,0.47,0.06,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,34,36,NA,0.45,0.55,NA,NA,NA,0.06,0.08,0.55,0.07,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,36,38,NA,0.43,0.52,NA,NA,NA,0.08,0.08,0.57,0.06,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,38,40,NA,0.41,0.56,NA,NA,NA,0,0.08,0.49,0.07,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,40,42,NA,0.42,0.57,NA,NA,NA,0.06,0.16,0.55,0.15,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,42,44,NA,0.4,0.56,NA,NA,NA,0,0.17,0.41,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,44,46,NA,0.35,0.61,NA,NA,NA,0,0.09,0.39,0.08,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,46,48,NA,0.34,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,48,50,NA,0.29,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,40,42,NA,0.43,0.57,NA,NA,NA,0.06,0.16,0.55,0.15,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,42,44,NA,0.46,0.55,NA,NA,NA,0,0.17,0.41,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,44,46,NA,0.42,0.53,NA,NA,NA,0,0.09,0.39,0.08,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,46,48,NA,0.41,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,48,50,NA,0.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,50,52,NA,0.33,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,52,54,NA,0.36,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,54,56,NA,0.34,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,56,58,NA,0.32,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,58,60,NA,0.32,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,60,62,NA,0.3,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,62,64,NA,0.28,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,64,66,NA,0.24,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,66,68,NA,0.24,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,68,70,NA,0.25,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,70,72,NA,0.24,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,72,74,NA,0.25,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,74,76,NA,0.27,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,76,78,NA,0.24,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,78,80,NA,0.24,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,80,82,NA,0.25,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,82,84,NA,0.22,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,84,86,NA,0.26,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,86,88,NA,0.21,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_2,single set of methods,88,90,NA,0.21,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,0,2,NA,0.36,0.29,0.1,0.06,disintegrationsPerMinutePerGram,1.12,0.85,2.12,0.84,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,2,4,NA,0.57,0.2,NA,NA,NA,1,0.28,2,0.26,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,4,6,NA,0.79,0.18,0.24,0.04,disintegrationsPerMinutePerGram,0,0.54,0.9,0.53,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,6,8,NA,0.9,0.15,NA,NA,NA,0.04,0.49,1.04,0.48,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,8,10,NA,1.04,0.15,0.26,0.03,disintegrationsPerMinutePerGram,0.4,0.99,1.4,0.99,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,10,12,NA,0.65,0.25,NA,NA,NA,0.93,0.3,1.93,0.28,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,12,14,NA,0.53,0.3,NA,NA,NA,2.31,0.31,3.31,0.3,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,14,16,NA,0.33,0.4,NA,NA,NA,3.49,0.34,4.49,0.32,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,16,18,NA,0.24,0.64,2.5,0.09,disintegrationsPerMinutePerGram,2.12,0.94,3.12,0.94,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,18,20,NA,0.23,0.65,2.79,0.13,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,20,22,NA,0.31,0.63,3.43,0.12,disintegrationsPerMinutePerGram,2.4,0.28,3.4,0.27,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,22,24,NA,0.32,0.6,NA,NA,NA,2.27,0.3,3.27,0.29,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,24,26,NA,0.27,0.66,NA,NA,NA,1.45,0.23,2.45,0.21,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,26,28,NA,0.25,0.66,NA,NA,NA,0.91,0.26,1.91,0.24,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,28,30,NA,0.26,0.65,NA,NA,NA,1.34,0.27,2.34,0.25,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,30,32,NA,0.23,0.7,NA,NA,NA,0.73,0.2,1.73,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,32,34,NA,0.26,0.68,NA,NA,NA,0.57,0.19,1.57,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,34,36,NA,0.25,0.69,NA,NA,NA,0.67,0.22,1.67,0.2,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,36,38,NA,0.2,0.67,NA,NA,NA,0.32,0.19,1.32,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,38,40,NA,0.26,0.65,NA,NA,NA,0.39,0.17,1.39,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,40,42,NA,0.28,0.62,NA,NA,NA,0.18,0.16,1.18,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,42,44,NA,0.38,0.64,NA,NA,NA,0.03,0.16,1.03,0.13,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,44,46,NA,0.28,0.73,NA,NA,NA,0.82,0.19,1.82,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,46,48,NA,0.22,0.69,NA,NA,NA,0.1,0.16,1.1,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,48,50,NA,0.16,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,40,42,NA,0.53,0.2,NA,NA,NA,0.18,0.16,1.18,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,42,44,NA,0.26,0.21,NA,NA,NA,0.03,0.16,1.03,0.13,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,44,46,NA,0.53,0.32,NA,NA,NA,0.82,0.19,1.82,0.17,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,46,48,NA,0.43,0.49,NA,NA,NA,0.1,0.16,1.1,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,48,50,NA,0.36,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,50,52,NA,0.35,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,52,54,NA,0.41,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,54,56,NA,0.36,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,56,58,NA,0.37,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,58,60,NA,0.38,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,60,62,NA,0.33,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,62,64,NA,0.44,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,64,66,NA,0.4,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,66,68,NA,0.43,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,68,70,NA,0.58,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,70,72,NA,0.42,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,72,74,NA,0.38,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,74,76,NA,0.4,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,76,78,NA,0.32,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,78,80,NA,0.33,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,80,82,NA,0.31,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,82,84,NA,0.36,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,84,86,NA,0.35,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,86,88,NA,0.35,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-Core,NHW-Core_3,single set of methods,88,90,NA,0.33,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,0,2,NA,2.2,0.02,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,2,4,NA,1.5,0.08,NA,NA,NA,1.07,0.12,1.07,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,4,6,NA,2.04,0.03,0.06,0.04,disintegrationsPerMinutePerGram,1.16,0.14,1.16,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,6,8,NA,2.44,0.03,NA,NA,NA,0.99,0.14,0.99,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,8,10,NA,2.33,0.05,0.07,0.04,disintegrationsPerMinutePerGram,0.81,0.12,0.81,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,10,12,NA,2.38,0.04,NA,NA,NA,0.77,0.13,0.77,0.13,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,12,14,NA,2.64,0.03,NA,NA,NA,0.6,0.11,0.6,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,14,16,NA,3.02,0.03,NA,NA,NA,0.65,0.11,0.65,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,16,18,NA,2.47,0.02,0.04,0.04,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,18,20,NA,2.15,0.05,0.45,0.19,disintegrationsPerMinutePerGram,0.38,0.22,0.38,0.22,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,20,22,NA,2.5,0.03,0.05,0.03,disintegrationsPerMinutePerGram,0.6,0.14,0.6,0.14,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,22,24,NA,2.72,0.04,NA,NA,NA,0.63,0.13,0.63,0.13,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,24,26,NA,2.76,0.02,NA,NA,NA,0.32,0.12,0.32,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,26,28,NA,2.91,0.03,NA,NA,NA,0.37,0.12,0.37,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,28,30,NA,2.32,0.04,NA,NA,NA,0.51,0.12,0.51,0.12,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,30,32,NA,2.18,0.05,NA,NA,NA,0.6,0.24,0.6,0.24,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,32,34,NA,2.73,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,34,36,NA,2.88,0.03,NA,NA,NA,0.43,0.11,0.43,0.11,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,36,38,NA,2.22,0.04,NA,NA,NA,1.04,0.13,1.04,0.13,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,38,40,NA,1.52,0.14,NA,NA,NA,1.58,0.16,1.58,0.16,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,40,42,NA,1.19,0.14,NA,NA,NA,2.38,0.21,2.38,0.21,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,42,44,NA,0.94,0.17,NA,NA,NA,3.72,0.29,3.72,0.29,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,44,46,NA,0.73,0.14,NA,NA,NA,3.67,0.29,3.67,0.29,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,46,48,NA,0.78,0.19,NA,NA,NA,4.02,0.3,4.02,0.3,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,48,50,NA,0.71,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,40,42,NA,2.05,0.03,NA,NA,NA,2.38,0.21,2.38,0.21,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,42,44,NA,2.07,0.07,NA,NA,NA,3.72,0.29,3.72,0.29,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,44,46,NA,1.85,0.09,NA,NA,NA,3.67,0.29,3.67,0.29,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,46,48,NA,1.5,0.17,NA,NA,NA,4.02,0.3,4.02,0.3,disintegrationsPerMinutePerGram,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,48,50,NA,1.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,50,52,NA,1.16,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,52,54,NA,1.21,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,54,56,NA,1.24,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,56,58,NA,1.31,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,58,60,NA,0.97,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,60,62,NA,1.19,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,62,64,NA,1.21,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,64,66,NA,1.01,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,66,68,NA,1.25,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,68,70,NA,1.35,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,70,72,NA,1.2,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,72,74,NA,1.04,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,74,76,NA,1.27,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,76,78,NA,1.26,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,78,80,NA,1.08,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,80,82,NA,1.06,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,82,84,NA,1.13,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,84,86,NA,1.15,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strand_et_al_2024,NHW-N,NHW-N_1,single set of methods,86,88,NA,1.03,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
