study_id,bibliography_id,publication_type,bibtype,doi,url,author,keywords,title,publisher,year,copyright,month,volume,number,pages,journal,school,key,editor,booktitle,institution,language
Neubauer_2002,Holmquist_et_al_2018_synthesis,synthesis,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,Smithsonian Research Online,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyman_et_al_1993,Holmquist_et_al_2018_synthesis,synthesis,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,Smithsonian Research Online,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orson_1990,Holmquist_et_al_2018_synthesis,synthesis,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,Smithsonian Research Online,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pastore_et_al_2017,Holmquist_et_al_2018_synthesis,synthesis,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,Smithsonian Research Online,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011,Holmquist_et_al_2018_synthesis,synthesis,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,Smithsonian Research Online,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windham_Meyers_et_al_2010,Holmquist_et_al_2018_synthesis,synthesis,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,Smithsonian Research Online,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochran_et_al_1998,Cochran_et_al_1998_article,associated,Article,10.1006/ecss.1997.0299,https://doi.org/10.1006/ecss.1997.0299,J.K. Cochran and D.J. Hirschberg and J. Wang and C. Dere,NA,"Atmospheric Deposition of Metals to Coastal Waters (Long Island Sound, New York U.S.A.): Evidence from Saltmarsh Deposits",Elsevier {BV},1998,NA,apr,46,4,503--522,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Neubauer_2002,Neubauer_2002_article,associated,Article,10.1006/ecss.2001.0854,https://doi.org/10.1006/ecss.2001.0854,S.C. Neubauer and I.C. Anderson and J.A. Constantine and S.A. Kuehl,NA,Sediment Deposition and Accretion in a Mid-Atlantic (U.S.A.) Tidal Freshwater Marsh,Elsevier {BV},2002,NA,apr,54,4,713--727,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Drake_et_al_2015,Drake_et_al_2015_article,associated,Article,10.1007/s00267-015-0568-z,https://doi.org/10.1007/s00267-015-0568-z,Katherine Drake and Holly Halifax and Susan C. Adamowicz and Christopher Craft,NA,Carbon Sequestration in Tidal Salt Marshes of the Northeast United States,Springer Science and Business Media {LLC},2015,NA,jun,56,4,998--1008,Environmental Management,NA,NA,NA,NA,NA,NA
Noe_et_al_2013,Noe_et_al_2013_article,associated,Article,10.1007/s10533-012-9805-1,https://doi.org/10.1007/s10533-012-9805-1,Gregory B. Noe and Ken W. Krauss and B. Graeme Lockaby and William H. Conner and Cliff R. Hupp,NA,The effect of increasing salinity and forest mortality on soil nitrogen and phosphorus mineralization in tidal freshwater forested wetlands,Springer Science and Business Media {LLC},2012,NA,nov,114,NA,225--244,Biogeochemistry,NA,NA,NA,NA,NA,NA
Pastore_et_al_2017,Pastore_et_al_2017_article,associated,Article,10.1007/s10533-017-0312-2,https://doi.org/10.1007/s10533-017-0312-2,Melissa A. Pastore and J. Patrick Megonigal and J. Adam Langley,NA,Elevated {CO}2 and nitrogen addition accelerate net carbon gain in a brackish marsh,Springer Science and Business Media {LLC},2017,NA,mar,133,1,73--87,Biogeochemistry,NA,NA,NA,NA,NA,NA
Radabaugh_et_al_2018,Radabaugh_et_al_2018_article,associated,Article,10.1007/s12237-017-0362-7,https://doi.org/10.1007/s12237-017-0362-7,Kara R. Radabaugh and Ryan P. Moyer and Amanda R. Chappel and Christina E. Powell and Ioana Bociu and Barbara C. Clark and Joseph M. Smoak,NA,"Coastal Blue Carbon Assessment of Mangroves, Salt Marshes, and Salt Barrens in Tampa Bay, Florida, {USA}",Springer Science and Business Media {LLC},2017,NA,dec,41,5,1496--1510,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Elsey_Quirk_et_al_2011,Elsey_Quirk_et_al_2011_article,associated,Article,10.1007/s13157-010-0139-2,https://doi.org/10.1007/s13157-010-0139-2,Tracy Elsey-Quirk and Denise M. Seliskar and Christopher K. Sommerfield and John L. Gallagher,NA,"Salt Marsh Carbon Pool Distribution in a Mid-Atlantic Lagoon, {USA}: Sea Level Rise Implications",Springer Science and Business Media {LLC},2011,NA,feb,31,1,87--99,Wetlands,NA,NA,NA,NA,NA,NA
Kulawardhana_et_al_2015,Kulawardhana_et_al_2015_article,associated,Article,10.1016/j.ecss.2014.12.032,https://doi.org/10.1016/j.ecss.2014.12.032,Ranjani W. Kulawardhana and Rusty A. Feagin and Sorin C. Popescu and Thomas W. Boutton and Kevin M. Yeager and Thomas S. Bianchi,NA,"The role of elevation, relative sea-level history and vegetation transition in determining carbon distribution in Spartina alterniflora dominated salt marshes",Elsevier {BV},2015,NA,mar,154,NA,48--57,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Hill_and_Anisfeld_2015,Hill_and_Anisfeld_2015_article,associated,Article,10.1016/j.ecss.2015.06.004,https://doi.org/10.1016/j.ecss.2015.06.004,Troy D. Hill and Shimon C. Anisfeld,NA,Coastal wetland response to sea level rise in Connecticut and New York,Elsevier {BV},2015,NA,sep,163,NA,185--193,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2017,Breithaupt_et_al_2017_article,associated,Article,10.1016/j.margeo.2017.07.002,https://doi.org/10.1016/j.margeo.2017.07.002,Joshua L. Breithaupt and Joseph M. Smoak and Victor H. Rivera-Monroy and Edward Castañeda-Moya and Ryan P. Moyer and Marc Simard and Christian J. Sanders,NA,Partitioning the relative contributions of organic matter and mineral sediment to accretion rates in carbonate platform mangrove soils,Elsevier {BV},2017,NA,aug,390,NA,170--180,Marine Geology,NA,NA,NA,NA,NA,NA
Orson_1990,Orson_1990_article,associated,Article,10.1306/d4267631-2b26-11d7-8648000102c1865d,https://doi.org/10.1306/d4267631-2b26-11d7-8648000102c1865d,Robert L. Sim {Richard A. Orson (2)},NA,Rates of Sediment Accumulation in a Tidal Freshwater Marsh,Society for Sedimentary Geology,1990,NA,NA,NA,NA,NA,{SEPM} Journal of Sedimentary Research,NA,NA,NA,NA,NA,NA
Windham_Meyers_et_al_2010,Windham_Meyers_et_al_2010_misc,associated,Misc,10.3133/ofr20101299,https://doi.org/10.3133/ofr20101299,Lisamarie Windham-Myers and Mark C. Marvin-DiPasquale and Jennifer L. Agee and Le H. Kieu and Evangelos Kakouros and Li H. Erikson and Kristen Ward,NA,"Biogeochemical processes in an urban, restored wetland of San Francisco Bay, California, 2007-2009$\mathsemicolon$ methods and data for plant, sediment and water parameters",{US} Geological Survey,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011,Piazza_et_al_2011_misc,associated,Misc,10.3133/ofr20111094,https://doi.org/10.3133/ofr20111094,Sarai C. Piazza and Gregory D. Steyer and Kari F. Cretini and Charles E. Sasser and Jenneke M. Visser and Guerry O. Holm and Leigh A. Sharp and D. Elaine Evers and John R. Meriwether,NA,Geomorphic and ecological effects of Hurricanes Katrina and Rita on coastal Louisiana marsh communities,{US} Geological Survey,2011,NA,NA,NA,NA,i--126,NA,NA,NA,NA,NA,NA,NA
Nyman_et_al_1993,Nyman_et_al_1993_article,associated,Article,10.3354/meps096269,https://doi.org/10.3354/meps096269,JA Nyman and RD DeLaune and HH Roberts and WH Patrick,NA,Relationship between vegetation and soil formation in a rapidly submerging coastal marsh,Inter-Research Science Center,1993,NA,NA,96,NA,269--279,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA
CRMS_2015,CRMS_2015_misc,associated,Misc,NA,https://cims.coastal.louisiana.gov,Coastal Protection and Restoration Authority,NA,CRMS Soil Properties,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merrill_1999,Merrill_1999_phdthesis,associated,PhdThesis,NA,https://elibrary.ru/item.asp?id=5305392,J Z Merrill,NA,Tidal Freshwater Marshes as Nutrient Sinks: Particulate Nutrient Burial and Denitrification,NA,1999,NA,NA,NA,NA,NA,NA,"University of Maryland, College Park",NA,NA,NA,NA,NA
Nuttle_1996,Nuttle_1996_book,associated,Book,NA,NA,William Nuttle,NA,Tidal Freshwater Marshes as Nutrient Sinks: Particulate Nutrient Burial and Denitrification,Environmental Data Initiative,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2018,Gonneea_et_al_2018_data,primary,Misc,10.5066/F7H41QPP,https://www.sciencebase.gov/catalog/item/5a748e35e4b00f54eb19f96c,"Meagan E. Gonneea and Kevin D. Kroeger and {, O&Amp}","Environmental Health,Geochemistry,Soil Sciences,Water Quality,Water Resources","Collection, analysis, and age-dating of sediment cores from salt marshes on the south shore of Cape Cod, Massachusetts, from 2013 through 2014",U.S. Geological Survey,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giblin_and_Forbrich_2018,Giblin_and_Forbrich_2018_data,primary,Misc,10.6073/PASTA/D1D5CBF87602CCF51DE30B87B8E46D01,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-pie.427.1,Anne Giblin and Inke Forbrich and {Plum Island Ecosystems LTER},NA,"PIE LTER high marsh sediment chemistry and activity measurements, Nelson Island Creek marsh, Rowley, MA",Environmental Data Initiative,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en
Gerlach_et_al_2017,Gerlach_et_al_2017_article,associated,Article,10.1016/j.margeo.2017.07.001,https://doi.org/10.1016/j.margeo.2017.07.001,Matthew J. Gerlach and Simon E. Engelhart and Andrew C. Kemp and Ryan P. Moyer and Joseph M. Smoak and Christopher E. Bernhardt and Niamh Cahill,NA,Reconstructing Common Era relative sea-level change on the Gulf Coast of Florida,Elsevier {BV},2017,NA,aug,390,NA,254--269,Marine Geology,NA,NA,NA,NA,NA,NA
Mateo_et_al_1997,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Paula_et_al_2001,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Kamp-Nielsen_et_al_2002,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Danovaro_et_al_1994,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Danovaro_1996,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Danovaro_and_Gambi_2002,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Hebert_et_al_2007,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Holmer_et_al_2007,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Lillebo_et_al_2006,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Spruzen_et_al_2008,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Yarbro_and_Carlson_2008,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Holmer_et_al_2009,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Kenig_et_al_1990,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
De_Iongh_et_al_1995,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Lee_et_al_2005,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Rigollet_et_al_2004,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Qu_et_al_2006,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Kairis_and_Rybczyk_2010,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Cotner_et_al_2004,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2004,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Calleja_et_al_2007,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Fonseca_et_al_2011,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Ooi_et_al_2011,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Lewis_et_al_2007,Fourqurean_et_al_2012_synthesis,synthesis,Article,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,Seagrass ecosystems as a globally significant carbon stock,Springer Nature,2012,NA,may,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
