"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"193","Ruranska et al 2022","PR Tetney Haven 5","Tetney Haven","Tetney Haven 5","Salt marsh","Sandy ",53.52336,0.021458333,"direct from dataset","1","UK",2019,0,0.1,"EA",3.43,6.47,1.09,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"194","Ruranska et al 2022","PR Tollesbury 1","Tollesbury","Tollesbury 1","Salt marsh","Sandy ",51.76976,0.84372307,"direct from dataset","1","UK",2019,0,0.1,"EA",4.15,6.25,0.79,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"195","Ruranska et al 2022","PR Tollesbury 2","Tollesbury","Tollesbury 2","Salt marsh","Not Sandy",51.77042,0.83859329,"direct from dataset","1","UK",2019,0,0.1,"EA",4.08,7.62,0.52,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"196","Ruranska et al 2022","PR Tollesbury 3","Tollesbury","Tollesbury 3","Salt marsh","Not Sandy",51.77107,0.83371352,"direct from dataset","1","UK",2019,0,0.1,"EA",4.58,8.17,0.47,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"197","Ruranska et al 2022","PR Tollesbury 4","Tollesbury","Tollesbury 4","Salt marsh","Not Sandy",51.76859,0.84920626,"direct from dataset","1","UK",2019,0,0.1,"EA",3.62,9.22,0.63,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"198","Ruranska et al 2022","PR Tollesbury 5","Tollesbury","Tollesbury 5","Salt marsh","Not Sandy",51.76778,0.85539148,"direct from dataset","1","UK",2019,0,0.1,"EA",4.06,10.09,0.5,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"199","Ruranska et al 2022","PR Traeth Maelgwyn 1","Traeth Maelgwyn","Traeth Maelgwyn 1","Salt marsh","Sandy ",52.52684,-4.030430556,"direct from dataset","1","UK",2019,0,0.1,"EA",0.02,2.04,1.38,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"200","Ruranska et al 2022","PR Traeth Maelgwyn 2","Traeth Maelgwyn","Traeth Maelgwyn 2","Salt marsh","Sandy ",52.52633,-4.030544444,"direct from dataset","1","UK",2019,0,0.1,"EA",1.43,6.32,1,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"201","Ruranska et al 2022","PR Traeth Maelgwyn 3","Traeth Maelgwyn","Traeth Maelgwyn 3","Salt marsh","Not Sandy",52.52543,-4.030316667,"direct from dataset","1","UK",2019,0,0.1,"EA",1.73,7.95,0.99,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"202","Ruranska et al 2022","PR Traeth Maelgwyn 4","Traeth Maelgwyn","Traeth Maelgwyn 4","Salt marsh","Not Sandy",52.52441,-4.030277778,"direct from dataset","1","UK",2019,0,0.1,"EA",3.48,8.11,0.7,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"203","Ruranska et al 2022","PR Uplees 1","Uplees","Uplees 1","Salt marsh","Not Sandy",51.35241,0.880102778,"direct from dataset","1","UK",2019,0,0.1,"EA",5.51,8.49,0.74,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"204","Ruranska et al 2022","PR Uplees 2","Uplees","Uplees 2","Salt marsh","Not Sandy",51.35229,0.879872222,"direct from dataset","1","UK",2019,0,0.1,"EA",8.81,10.86,0.54,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"205","Ruranska et al 2022","PR Uplees 3","Uplees","Uplees 3","Salt marsh","Not Sandy",51.35211,0.879616667,"direct from dataset","1","UK",2019,0,0.1,"EA",9.34,11.78,0.49,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"206","Ruranska et al 2022","PR Uplees 4","Uplees","Uplees 4","Salt marsh","Not Sandy",51.35181,0.878963889,"direct from dataset","1","UK",2019,0,0.1,"EA",6.39,13.59,0.37,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"207","Ruranska et al 2022","PR Uplees 5","Uplees","Uplees 5","Salt marsh","Not Sandy",51.35209,0.879469444,"direct from dataset","1","UK",2019,0,0.1,"EA",7.7,14.86,0.51,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"208","Ruranska et al 2022","PR Wheat Park 1","Wheat Park","Wheat Park 1","Salt marsh","Not Sandy",50.33245,-3.926849,"direct from dataset","1","UK",2019,0,0.1,"EA",5.41,11.06,0.9,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"209","Ruranska et al 2022","PR Wheat Park 2","Wheat Park","Wheat Park 2","Salt marsh","Not Sandy",50.33262,-3.927285,"direct from dataset","1","UK",2019,0,0.1,"EA",5.76,11.85,0.86,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"210","Ruranska et al 2022","PR Wheat Park 3","Wheat Park","Wheat Park 3","Salt marsh","Not Sandy",50.33262,-3.92732,"direct from dataset","1","UK",2019,0,0.1,"EA",8.92,17.65,0.62,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"211","Ruranska et al 2022","PR Wheat Park 4","Wheat Park","Wheat Park 4","Salt marsh","Not Sandy",50.33253,-3.927041,"direct from dataset","1","UK",2019,0,0.1,"EA",8.15,18.04,0.58,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"212","Ruranska et al 2022","PR Wheat Park 5","Wheat Park","Wheat Park 5","Salt marsh","Not Sandy",50.33247,-3.926908,"direct from dataset","1","UK",2019,0,0.1,"EA",9.99,19.47,0.66,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
