study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,type,issue,issn,eprint,article-number
SWAMP_Data_Soil_carbon_Bhitakarnika_2013_India,SWAMP_Data_Soil_carbon_Bhitakarnika_2013_India_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Bhitakarnika-2013,Bhomia R.K. and MacKenzie R.A. and Murdiyarso D. and Sasmito S.D. and Purbopuspito J.,NA,10.17528/cifor/data.00151,http://dx.doi.org/10.17528/cifor/data.00151,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Bhitakarnika-2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Acarau_Boca_2016_Brazil,SWAMP_Data_Soil_carbon_Acarau_Boca_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Acarau Boca-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00171,http://dx.doi.org/10.17528/cifor/data.00171,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Acarau Boca-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Baouth_2014_Senegal,SWAMP_Data_Soil_carbon_Baouth_2014_Senegal_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Baouth-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00155,http://dx.doi.org/10.17528/cifor/data.00155,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Baouth-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Caete_2017_Brazil,SWAMP_Data_Soil_carbon_Caete_2017_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Caeté -2017,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00164,http://dx.doi.org/10.17528/cifor/data.00164,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Caeté -2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cauassu_Leste_Shrimp_2016_Brazil,SWAMP_Data_Soil_carbon_Cauassu_Leste_Shrimp_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Cauassu Leste Shrimp-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00172,http://dx.doi.org/10.17528/cifor/data.00172,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Cauassu Leste Shrimp-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cauassu_Oeste_Shrimp_2016_Brazil,SWAMP_Data_Soil_carbon_Cauassu_Oeste_Shrimp_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Cauassu Oeste Shrimp-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00173,http://dx.doi.org/10.17528/cifor/data.00173,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Cauassu Oeste Shrimp-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cumbe_Leste_Camaro_2016_Brazil,SWAMP_Data_Soil_carbon_Cumbe_Leste_Camaro_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Cumbe Leste Camaro-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00174,http://dx.doi.org/10.17528/cifor/data.00174,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Cumbe Leste Camaro-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Cumbe_norte_Camarao_2016_Brazil,SWAMP_Data_Soil_carbon_Cumbe_norte_Camarao_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Manggrove soil carbon-Cumbe Norte Camarao-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00175,http://dx.doi.org/10.17528/cifor/data.00175,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Manggrove soil carbon-Cumbe Norte Camarao-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Diamniadio_2014_Senegal,SWAMP_Data_Soil_carbon_Diamniadio_2014_Senegal_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Diamniadio-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00156,http://dx.doi.org/10.17528/cifor/data.00156,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Diamniadio-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Djirnda_2014_Senegal,SWAMP_Data_Soil_carbon_Djirnda_2014_Senegal_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Djirnda-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00154,http://dx.doi.org/10.17528/cifor/data.00154,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Djirnda-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Fambine_2014_Senegal,SWAMP_Data_Soil_carbon_Fambine_2014_Senegal_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Fambine-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00153,http://dx.doi.org/10.17528/cifor/data.00153,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Fambine-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Furo_de_Chato_2017_Brazil,SWAMP_Data_Soil_carbon_Furo_de_Chato_2017_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Furo do Chato-2017,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00165,http://dx.doi.org/10.17528/cifor/data.00165,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Furo do Chato-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Mangizal_Cauassu_2016_Brazil,SWAMP_Data_Soil_carbon_Mangizal_Cauassu_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Manguezal Cauassu-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00176,http://dx.doi.org/10.17528/cifor/data.00176,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Manguezal Cauassu-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Manguinho_2016_Brazil,SWAMP_Data_Soil_carbon_Manguinho_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Manguinho-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00177,http://dx.doi.org/10.17528/cifor/data.00177,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Manguinho-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Mounde_2014_Senegal,SWAMP_Data_Soil_carbon_Mounde_2014_Senegal_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Mounde-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00150,http://dx.doi.org/10.17528/cifor/data.00150,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Mounde-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Porto_Ceu_Mangrove_2016_Brazil,SWAMP_Data_Soil_carbon_Porto_Ceu_Mangrove_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Porto Ceu-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00178,http://dx.doi.org/10.17528/cifor/data.00178,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Porto Ceu-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Porto_Ceu_Shrimp_2016_Brazil,SWAMP_Data_Soil_carbon_Porto_Ceu_Shrimp_2016_Brazil_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Porto Ceu Tanque-2016,Kauffman J.B. and Bernardino A.F. and Ferreira T.O. and Giovannoni L.R. and de O. Gomes L.E. and Romero D.J. and Jimenez L.C.Z. and Ruiz F.,NA,10.17528/cifor/data.00179,http://dx.doi.org/10.17528/cifor/data.00179,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Porto Ceu Tanque-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Sang_2014_Senegal,SWAMP_Data_Soil_carbon_Sang_2014_Senegal_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Sang-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00152,http://dx.doi.org/10.17528/cifor/data.00152,2019,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Sang-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Case_Shell_2014,SWAMP_Data_Soil_carbon_Case_Shell_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Jardin_Du_Elephant_2014,SWAMP_Data_Soil_carbon_Jardin_Du_Elephant_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Lac_Simba_Deux_2014,SWAMP_Data_Soil_carbon_Lac_Simba_Deux_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Lac_Simba_2014,SWAMP_Data_Soil_carbon_Lac_Simba_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Lac_Sounga_Deux_2014,SWAMP_Data_Soil_carbon_Lac_Sounga_Deux_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Lac_Sounga_2014,SWAMP_Data_Soil_carbon_Lac_Sounga_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Mwana_Mouele_South_2014,SWAMP_Data_Soil_carbon_Mwana_Mouele_South_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Mwana_Mouele_2014,SWAMP_Data_Soil_carbon_Mwana_Mouele_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Ndougou_2014,SWAMP_Data_Soil_carbon_Ndougou_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00215,http://dx.doi.org/10.17528/cifor/data.00215,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon North-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_Case_Shell_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_Jardin_Du_Elephant_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_Lac_Simba_Deux_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_Lac_Simba_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_Lac_Sounga_Deux_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_Lac_Sounga_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_Mwana_Mouele_South_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_Mwana_Mouele_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_Ndougou_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_BRM10_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_MRM8_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_MRT7_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_MRT9_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_NCM1_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_NCM4_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_NCM5_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_NCT2_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_NCT3_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_NCT6_2014,Kauffman_and_Bhomia_2017_article,associated source,Article,Ecosystem carbon stocks of mangroves across broad environmental gradients in West-Central Africa: Global and regional comparisons,J. Boone Kauffman and Rupesh K. Bhomia,NA,10.1371/journal.pone.0187749,http://dx.doi.org/10.1371/journal.pone.0187749,2017,nov,Public Library of Science (PLoS),12,11,e0187749,PLOS ONE,NA,Just Cebrian,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA
SWAMP_Data_Soil_carbon_Paga_2014,SWAMP_Data_Soil_carbon_Paga_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Gabon South-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00214,http://dx.doi.org/10.17528/cifor/data.00214,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Gabon South-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_BRM10_2014,SWAMP_Data_Soil_carbon_BRM10_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Liberia-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00216,http://dx.doi.org/10.17528/cifor/data.00216,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Liberia-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAMP_Data_Soil_carbon_MRM8_2014,SWAMP_Data_Soil_carbon_MRM8_2014_data,primary dataset,Misc,SWAMP Dataset-Mangrove soil carbon-Liberia-2014,Kauffman J.B. and Bhomia R.K.,NA,10.17528/cifor/data.00216,http://dx.doi.org/10.17528/cifor/data.00216,2020,NA,Center for International Forestry Research (CIFOR) and World Agroforestry Centre (ICRAF),NA,NA,NA,SWAMP Dataset-Mangrove soil carbon-Liberia-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
