Authors,title,Year,Source Title,Included
"Alford, SB; Rozas, LP","Effects of Nonnative Eurasian Watermilfoil, Myriophyllum spicatum, on Nekton Habitat Quality in a Louisiana Oligohaline Estuary",2019,ESTUARIES AND COASTS,NA
"FELLER, IC",EFFECTS OF NUTRIENT ENRICHMENT ON GROWTH AND HERBIVORY OF DWARF RED MANGROVE (RHIZOPHORA MANGLE),1995,ECOLOGICAL MONOGRAPHS,NA
"Bucolo, P; Sullivan, MJ; Zimba, PV",Effects of nutrient enrichment on primary production and biomass of sediment microalgae in a subtropical seagrass bed,2008,JOURNAL OF PHYCOLOGY,NA
"Ortodossi, NL; Gilby, BL; Schlacher, TA; Connolly, RM; Yabsley, NA; Henderson, CJ; Olds, AD",Effects of seascape connectivity on reserve performance along exposed coastlines,2019,CONSERVATION BIOLOGY,NA
"Wicks, EC; Koch, EW; O'Neil, JM; Elliston, K",Effects of sediment organic content and hydrodynamic conditions on the growth and distribution of Zostera marina,2009,MARINE ECOLOGY PROGRESS SERIES,NA
"M Dahl, D Deyanova, LD Lyimo, J Näslund…",Effects of shading and simulated grazing on carbon sequestration in a tropical seagrass meadow,2016,Journal of …,NA
"Bouma, TJ; Friedrichs, M; Klaassen, P; van Wesenbeeck, BK; Brun, FG; Temmerman, S; van Katwijk, MM; Graf, G; Herman, PMJ","Effects of shoot stiffness, shoot size and current velocity on scouring sediment from around seedlings and propagules",2009,MARINE ECOLOGY PROGRESS SERIES,NA
"SM Trevathan‐Tackett, C Wessel…","Effects of small‐scale, shading‐induced seagrass loss on blue carbon storage: Implications for management of degraded seagrass ecosystems",2018,Journal of applied …,NA
"Ellis, J; Nicholls, P; Craggs, R; Hofstra, D; Hewitt, J",Effects of terrigenous sedimentation on mangrove physiology and associated macrobenthic communities,2004,MARINE ECOLOGY PROGRESS SERIES,NA
"Sheppard, JK; Jones, RE; Marsh, H; Lawler, IR",Effects of Tidal and Diel Cycles on Dugong Habitat Use,2009,JOURNAL OF WILDLIFE MANAGEMENT,NA
"Gonzalez-Ortiz, V; Alcazar, P; Vergara, JJ; Perez-Llorens, JL; Brun, FG",Effects of two antagonistic ecosystem engineers on infaunal diversity,2014,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"Rey, JR; O'Connell, SM",Effects of water discharges from impounded mangrove forests upon seagrasses and light attenuation in the adjoining estuary,2003,INTERCIENCIA,NA
"Wu, WC; Cox, DT",Effects of wave steepness and relative water depth on wave attenuation by emergent vegetation,2015,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"Poli, A; Bovio, E; Verkley, G; Prigione, V; Varese, GC","Elbamycella rosea gen. et sp. nov. (Juncigenaceae, Torpedosporales) isolated from the Mediterranean Sea",2019,MYCOKEYS,NA
"Machas, R; Santos, R; Peterson, B",Elemental and stable isotope composition of Zostera noltii (Horneman) leaves during the early phases of decay in a temperate mesotidal lagoon,2006,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"Boyer, KE; Fong, P; Armitage, AR; Cohen, RA","Elevated nutrient content of tropical macroalgae increases rates of herbivory in coral, seagrass, and mangrove habitats",2004,CORAL REEFS,NA
"Valiela, I; Mazzilli, S; Bowen, JL; Kroeger, KD; Cole, ML; Tomasky, G; Isaji, T","ELM, an estuarine nitrogen loading model: Formulation and verification of predicted concentrations of dissolved inorganic nitrogen",2004,WATER AIR AND SOIL POLLUTION,NA
"Arkema, KK; Verutes, GM; Wood, SA; Clarke-Samuels, C; Rosado, S; Canto, M; Rosenthal, A; Ruckelshaus, M; Guannel, G; Toft, J; Faries, J; Silver, JM; Griffin, R; Guerry, AD",Embedding ecosystem services in coastal planning leads to better outcomes for people and nature,2015,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,NA
"Liu, C; Liu, GY; Yang, Q; Luo, TY; He, P; Franzese, PP; Lombardi, GV",Emergy-based evaluation of world coastal ecosystem services,2021,WATER RESEARCH,NA
"Clausen, KK; Clausen, P; Faelled, CC; Mouritsen, KN",Energetic consequences of a major change in habitat use: endangered Brent Geese Branta bernicla hrota losing their main food resource,2012,IBIS,NA
"Kirwan, ML; Blum, LK",Enhanced decomposition offsets enhanced productivity and soil carbon accumulation in coastal wetlands responding to climate change,2011,BIOGEOSCIENCES,NA
"L Chen, H Fan, Z Su, Q Lin…",Enhancing carbon storage in mangrove ecosystems of China through sustainable restoration and aquaculture actions,2021,Wetland Carbon and …,NA
"PLA Erftemeijer, ML Cambridge, BA Price, S Ito…",Enhancing growth of mangrove seedlings in the environmentally extreme Arabian Gulf using treated sewage sludge,2021,Marine Pollution …,NA
"E Northrop, S Ruffo, G Taraska, LS Murray, E Pidgeon…",Enhancing Nationally Determined Contributions: Opportunities for Ocean-Based Climate Action,2021,NA,NA
"Chee, SY; Firth, LB; Then, AYH; Yee, JC; Mujahid, A; Affendi, YA; Amir, AA; Lau, CM; Ooi, JLS; Quek, YA; Tan, CE; Yap, TK; Yeap, CA; McQuatters-Gollop, A",Enhancing Uptake of Nature-Based Solutions for Informing Coastal Sustainable Development Policy and Planning: A Malaysia Case Study,2021,FRONTIERS IN ECOLOGY AND EVOLUTION,NA
"Clifton, J; Cullen, LC; Haapkyla, J; Unsworth, RKF",Ensuring appropriate and proportionate responses to environmental threats: A response to Caras and Pasternak,2010,OCEAN & COASTAL MANAGEMENT,NA
"Ragavan, P; Kathiresan, K; Mohan, PM; Ravichandran, K; Jayaraj, RSC; Rana, TS",Ensuring the adaptive potential of Coastal wetlands of India- the need of the hour for sustainable management,2021,WETLANDS ECOLOGY AND MANAGEMENT,NA
"GILMORE, RG",ENVIRONMENTAL AND BIOGEOGRAPHIC FACTORS INFLUENCING ICHTHYOFAUNAL DIVERSITY - INDIAN-RIVER LAGOON,1995,BULLETIN OF MARINE SCIENCE,NA
"CC Pricillia, H Herdiansyah, MP Patria","Environmental conditions to support blue carbon storage in mangrove forest: A case study in the mangrove forest, Nusa Lembongan, Bali, Indonesia",2021,Biodiversitas Journal of Biological …,NA
"Nguyen, BN; Shen, EW; Seemann, J; Correa, AMS; O'Donnell, JL; Altieri, AH; Knowlton, N; Crandall, KA; Egan, SP; McMillan, WO; Leray, M",Environmental DNA survey captures patterns of fish and invertebrate diversity across a tropical seascape,2020,SCIENTIFIC REPORTS,NA
ME Röhr,Environmental Drivers Influencing the Carbon Sink Capacity of Eelgrass (Zostera marina),2019,NA,NA
"R MacKenzie, S Sharma, AR Rovai",Environmental drivers of blue carbon burial and soil carbon stocks in mangrove forests,2021,… environments of mangrove coasts,NA
"MAC Lima, RD Ward, CB Joyce",Environmental drivers of sediment carbon storage in temperate seagrass meadows,2020,Hydrobiologia,NA
"Beyer, J; Trannum, HC; Bakke, T; Hodson, PV; Collier, TK",Environmental effects of the Deepwater Horizon oil spill: A review,2016,MARINE POLLUTION BULLETIN,NA
"Dromard, CR; Devault, DA; Bouchon-Navaro, Y; Allenou, JP; Budzinski, H; Cordonnier, S; Tapie, N; Reynal, L; Lemoine, S; Thome, JP; Thouard, E; Monti, D; Bouchon, C",Environmental fate of chlordecone in coastal habitats: recent studies conducted in Guadeloupe and Martinique (Lesser Antilles),2022,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,NA
"Franco, A; Malavasi, S; Zucchetta, M; Franzoi, P; Torricelli, P","Environmental influences on fish assemblage in the Venice Lagoon, Italy",2006,CHEMISTRY AND ECOLOGY,NA
"Barry, SC; Jacoby, CA; Frazer, TK",Environmental influences on growth and morphology of Thalassia testudinum,2017,MARINE ECOLOGY PROGRESS SERIES,NA
"Saintilan, N; Wen, L",Environmental predictors of estuarine fish landings along a temperate coastline,2012,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"N Das, A Mondal, S Gangopadhay…","Environmental variables regulating organic carbon dynamics of Sundarban mangrove ecosystem, India",2020,… Journal of Chemical …,NA
"Ortega, A; Geraldi, NR; Duarte, CM",EnvironmentalDNAidentifies marine macrophyte contributions to Blue Carbon sediments,2020,LIMNOLOGY AND OCEANOGRAPHY,NA
"Hossain, MB; Marshall, DJ; Hall-Spencer, JM",Epibenthic community variation along an acidified tropical estuarine system,2019,REGIONAL STUDIES IN MARINE SCIENCE,NA
"DANIEL, PA; ROBERTSON, AI",EPIBENTHOS OF MANGROVE WATERWAYS AND OPEN EMBAYMENTS - COMMUNITY STRUCTURE AND THE RELATIONSHIP BETWEEN EXPORTED MANGROVE DETRITUS AND EPIFAUNAL STANDING STOCKS,1990,ESTUARINE COASTAL AND SHELF SCIENCE,NA
"Hamisi, M; Diez, B; Lyimo, T; Ininbergs, K; Bergman, B","Epiphytic cyanobacteria of the seagrass Cymodocea rotundata: diversity, diel nifH expression and nitrogenase activity",2013,ENVIRONMENTAL MICROBIOLOGY REPORTS,NA
"NEWELL, SY; FELL, JW","ERGOSTEROL CONTENT OF LIVING AND SUBMERGED, DECAYING LEAVES AND TWIGS OF RED MANGROVE",1992,CANADIAN JOURNAL OF MICROBIOLOGY,NA
"Miloslavich, P; Bax, NJ; Simmons, SE; Klein, E; Appeltans, W; Aburto-Oropeza, O; Garcia, MA; Batten, SD; Benedetti-Cecchi, L; Checkley, DM; Chiba, S; Duffy, JE; Dunn, DC; Fischer, A; Gunn, J; Kudela, R; Marsac, F; Muller-Karger, FE; Obura, D; Shin, YJ",Essential ocean variables for global sustained observations of biodiversity and ecosystem changes,2018,GLOBAL CHANGE BIOLOGY,NA
J Curran,Establishing carbon retention and sequestration in a submerged mangove using isotope analysis,2015,NA,NA
"Satterthwaite, EV; Bax, NJ; Miloslavich, P; Ratnarajah, L; Canonico, G; Dunn, D; Simmons, SE; Carini, RJ; Evans, K; Allain, V; Appeltans, W; Batten, S; Benedetti-Cecchi, L; Bernard, ATF; Bristol, S; Benson, A; Buttigieg, PL; Gerhardinger, LC; Chiba, S; Davies, TE; Duffy, JE; Giron-Nava, A; Hsu, AJ; Kraberg, AC; Kudela, RM; Lear, D; Montes, E; Muller-Karger, FE; O'Brien, TD; Obura, D; Provoost, P; Pruckner, S; Rebelo, LM; Selig, ER; Kjesbu, OS; Starger, C; Stuart-Smith, RD; Vierros, M; Waller, J; Weatherdon, LV; Wellman, TP; Zivian, A",Establishing the Foundation for the Global Observing System for Marine Life,2021,FRONTIERS IN MARINE SCIENCE,NA
"TIBBLES, BJ; DAVIS, CL; HARRIS, JM; LUCAS, MI",ESTIMATES OF BACTERIAL PRODUCTIVITY IN MARINE-SEDIMENTS AND WATER FROM A TEMPERATE SALT-MARSH LAGOON,1992,MICROBIAL ECOLOGY,NA
"TD Pham, K Yoshino, NN Le, DT Bui",Estimating aboveground biomass of a mangrove plantation on the Northern coast of Vietnam using machine learning techniques with an integration of ALOS-2 …,2018,International Journal of …,NA
"zu Ermgassen, PSE; DeAngelis, B; Gair, JR; zu Ermgassen, S; Baker, R; Daniels, A; MacDonald, TC; Meckley, K; Powers, S; Ribera, M; Rozas, LP; Grabowski, JH","Estimating and Applying Fish and Invertebrate Density and Production Enhancement from Seagrass, Salt Marsh Edge, and Oyster Reef Nursery Habitats in the Gulf of Mexico",2021,ESTUARIES AND COASTS,NA
"Russell, M; Greening, H","Estimating Benefits in a Recovering Estuary: Tampa Bay, Florida",2015,ESTUARIES AND COASTS,NA
"SI Park, YS Hwang, JS Um",Estimating blue carbon accumulated in a halophyte community using UAV imagery: A case study of the southern coastal wetlands in South Korea,2021,Journal of Coastal Conservation,NA
"Moritsch, MM; Young, M; Carnell, P; Macreadie, PI; Lovelock, C; Nicholson, E; Raimondi, PT; Wedding, LM; Ierodiaconou, D",Estimating blue carbon sequestration under coastal management scenarios,2021,SCIENCE OF THE TOTAL ENVIRONMENT,NA
"Rozas, LP; Minello, TJ",Estimating densities of small fishes and decapod crustaceans in shallow estuarine habitats: A review of sampling design with focus on gear selection,1997,ESTUARIES,NA
"Powers, SP; Grabowski, JH; Peterson, CH; Lindberg, WJ",Estimating enhancement of fish production by offshore artificial reefs: uncertainty exhibited by divergent scenarios,2003,MARINE ECOLOGY PROGRESS SERIES,not
"Pendleton, L; Donato, DC; Murray, BC; Crooks, S; Jenkins, WA; Sifleet, S; Craft, C; Fourqurean, JW; Kauffman, JB; Marba, N; Megonigal, P; Pidgeon, E; Herr, D; Gordon, D; Baldera, A",Estimating Global Blue Carbon Emissions from Conversion and Degradation of Vegetated Coastal Ecosystems,2012,PLOS ONE,not
"France, R","Estimating the assimilation of mangrove detritus by fiddler crabs in Laguna Joyuda, Puerto Rico, using dual stable isotopes",1998,JOURNAL OF TROPICAL ECOLOGY,not
"LN Griffiths, WJ Mitsch",Estimating the Effects of a Hurricane on Carbon Storage in Mangrove Wetlands in Southwest Florida,2021,Plants,yes
"Gulliver, A; Carnell, PE; Trevathan-Tackett, SM; Costa, MDD; Masque, P; Macreadie, PI",Estimating the Potential Blue Carbon Gains From Tidal Marsh Rehabilitation: A Case Study From South Eastern Australia,2020,FRONTIERS IN MARINE SCIENCE,yes
"Taylor, MD; Creighton, C",Estimating the Potential Fishery Benefits from Targeted Habitat Repair: a Case Study of School Prawn (Metapenaeus macleayi) in the Lower Clarence River Estuary,2018,WETLANDS,not
"Cruz, R; Borda, CA","ESTIMATION OF ABUNDANCE AND SPATIAL DISTRIBUTION OF PANULIRUS ARGUS USING DIFFERENT METHODOLOGIES IN ARTIFICIAL SHELTER, TRAP AND CORAL REEF FISHERIES",2013,CRUSTACEANA,not
"Ashraf, MT; Fang, CJ; Bochenski, T; Cybulska, I; Alassali, A; Sowunmi, A; Farzanah, R; Brudecki, GP; Chaturvedi, T; Haris, S; Schmidt, JE; Thomsen, MH",Estimation of bioenergy potential for local biomass in the United Arab Emirates,2016,EMIRATES JOURNAL OF FOOD AND AGRICULTURE,not
"K Rao, P Ranjan, AL Ramanathan",Estimation of Blue Carbon Stock of Mangrove Ecosystem and Its Dynamics in Relation to Hydrogeomorphic Settings and Land Use-land Cover,2021,"Mangroves: Ecology, Biodiversity and …",not
"FF Muhsoni, IW Abida, DAS Rini, AJ Putera",Estimation of mangrove carbon using drone images,2021,Depik,yes
"G Milligan, HM Poulos, MS Gilmore, GP Berlyn…",Estimation of short-term C-fixation in a New England temperate tidal freshwater wetland,2019,Heliyon,not
"Roman, CT; Jaworski, N; Short, FT; Findlay, S; Warren, RS",Estuaries of the northeastern United States: Habitat and land use signatures,2000,ESTUARIES,not
"Dame, R; Alber, M; Allen, D; Mallin, M; Montague, C; Lewitus, A; Chalmers, A; Gardner, R; Gilman, C; Kjerfve, B; Pinckney, J; Smith, N",Estuaries of the south Atlantic coast of North America: Their geographical signatures,2000,ESTUARIES,not
"Cicchetti, G; Greening, H","Estuarine Biotope Mosaics and Habitat Management Goals: An Application in Tampa Bay, FL, USA",2011,ESTUARIES AND COASTS,not
"Abu Hena, MK; Sidik, BJ; Aysha, A; Ahasan, H; Short, FT","Estuarine Macrophytes at Bakkhali, Cox's Bazar, Bangladesh with Reference to Mangrove Diversity",2013,CHIANG MAI JOURNAL OF SCIENCE,not
"Hillmann, ER; Rivera-Monroy, VH; Nyman, JA; La Peyre, MK",Estuarine submerged aquatic vegetation habitat provides organic carbon storage across a shifting landscape,2020,SCIENCE OF THE TOTAL ENVIRONMENT,yes
"Micheli, F; Peterson, CH",Estuarine vegetated habitats as corridors for predator movements,1999,CONSERVATION BIOLOGY,not
"RP Flood, MG Milne, GT Swindles, ID Barr, JD Orford","Estuarine-deltaic controls on coastal carbon burial in the western Ganges-Brahmaputra delta over the last 5,000 years",2021,NA,yes
"Richards, CL; Wares, JP; Mackie, JA",Evaluating Adaptive Processes for Conservation and Management of Estuarine and Coastal Resources,2010,ESTUARIES AND COASTS,not
"Wong, MC; Peterson, CH; Piehler, MF",Evaluating estuarine habitats using secondary production as a proxy for food web support,2011,MARINE ECOLOGY PROGRESS SERIES,not
"Ostrowski, A; Connolly, RM; Sievers, M",Evaluating multiple stressor research in coastal wetlands: A systematic review,2021,MARINE ENVIRONMENTAL RESEARCH,not
"Chasar, LC; Chanton, JP; Koenig, CC; Coleman, FC","Evaluating the effect of environmental disturbance on the trophic structure of Florida Bay, USA: Multiple stable isotope analyses of contemporary and historical specimens",2005,LIMNOLOGY AND OCEANOGRAPHY,not
J Dolliver,Evaluating the status and prospects of blue carbon in Ireland and the North-East Atlantic,2022,tara.tcd.ie,yes
"SK Gress, M Huxham, JG Kairo, LM Mugi…","Evaluating, predicting and mapping belowground carbon stores in Kenyan mangroves",2017,Global Change …,yes
須藤健二,Evaluation and prediction of marine biodiversity changes using species distribution models,2020,Hokkaido University Thesis,not
"Banolas, G; Fernandez, S; Espino, F; Haroun, R; Tuya, F",Evaluation of carbon sinks by the seagrass Cymodocea nodosa at an oceanic island: Spatial variation and economic valuation,2020,OCEAN & COASTAL MANAGEMENT,yes
"EM Eid, KM Khedher, H Ayed, M Arshad, A Moatamed…","Evaluation of carbon stock in the sediment of two mangrove species, Avicennia marina and Rhizophora mucronata, growing in the Farasan Islands, Saudi …",2020,Oceanologia,yes
"Barry, SC; Raskin, KN; Hazell, JE; Morera, MC; Monaghan, PF","Evaluation of interventions focused on reducing propeller scarring by recreational boaters in Florida, USA",2020,OCEAN & COASTAL MANAGEMENT,not
"NC Rodríguez, MI Vitorino, JF Berrêdo, MAG Jardim…","Evaluation of mangrove and its role in the economy and strategy to climate change: case study of Cuiarana, Pará, in the Brazilian Amazon",2020,Revista Árvore,not
"Gomez-Bernal, JM; Ruiz-Huerta, EA; Hernandez, MAA; Romero, PR; Gallegos-Martinez, ME","Evaluation of the accumulation of heavy metals in water, sediments and plants of a coastal zone of Mexico",2021,WATER AND ENVIRONMENT JOURNAL,not
"KH Shaltout, MT Ahmed, SA Alrumman, DA Ahmed…",Evaluation of the carbon sequestration capacity of arid mangroves along nutrient availability and salinity gradients along the Red Sea coastline of Saudi …,2020,Oceanologia,yes
"Herrera-Silveira, JA; Morales-Ojeda, SM","Evaluation of the health status of a coastal ecosystem in southeast Mexico: Assessment of water quality, phytoplankton and submerged aquatic vegetation",2009,MARINE POLLUTION BULLETIN,not
"Muller, C; Strydom, NA",Evidence for Habitat Residency and Isotopic Niche Partitioning in a Marine-Estuarine-Dependent Species Associated with Mangrove Habitats from the East Coast of South Africa,2017,ESTUARIES AND COASTS,not
"Zeh, DR; Heupel, MR; Hamann, M; Jones, R; Limpus, CJ; Marsh, H",Evidence of behavioural thermoregulation by dugongs at the high latitude limit to their range in eastern Australia,2018,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,not
"Tulipani, DC; Lipcius, RN",Evidence of Eelgrass (Zostera marina) Seed Dispersal by Northern Diamondback Terrapin (Malaclemys terrapin terrapin) in Lower Chesapeake Bay,2014,PLOS ONE,not
"CB Pavone, D Gorman, AAV Flores",Evidence of surplus carrying capacity for benthic invertebrates with the poleward range extension of the tropical seagrass Halophila decipiens in SE Brazil,2020,Marine Environmental Research,not
"Fukumori, H; Kano, Y",Evolutionary ecology of settlement size in planktotrophic neritimorph gastropods,2014,MARINE BIOLOGY,not
"Goto, R; Fukumori, H; Kano, Y; Kato, M",Evolutionary gain of red blood cells in a commensal bivalve (Galeommatoidea) as an adaptation to a hypoxic shrimp burrow,2018,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,not
"Stanley, SM",Evolutionary radiation of shallow-water Lucinidae (Bivalvia with endosymbionts) as a result of the rise of seagrasses and mangroves,2014,GEOLOGY,not
"Chanton, J; Lewis, FG","Examination of coupling between primary and secondary production in a river-dominated estuary: Apalachicola Bay, Florida, USA",2002,LIMNOLOGY AND OCEANOGRAPHY,not
L Krak,"Examining Opportunities for Geographic Market Differentiation, Blue Carbon Inclusion, and Nutrient Bioextraction in the US Seaweed Industry",2021,NA,not
"DA Smale, A Pessarrodona, N King…","Examining the production, export, and immediate fate of kelp detritus on open‐coast subtidal reefs in the Northeast Atlantic",2021,Limnology and …,yes
"RUSSELL, DE","EXOGONINAE (POLYCHAETA, SYLLIDAE) FROM THE BELIZEAN BARRIER-REEF WITH A KEY TO SPECIES OF SPHAEROSYLLIS",1991,JOURNAL OF NATURAL HISTORY,not
"ET Apostolaki, S Vizzini, V Santinelli, H Kaberi…",Exotic Halophila stipulacea is an introduced carbon sink for the Eastern Mediterranean Sea,2019,Scientific reports,yes
"Johnston, CA; Lipcius, RN",Exotic macroalga Gracilaria vermiculophylla provides superior nursery habitat for native blue crab in Chesapeake Bay,2012,MARINE ECOLOGY PROGRESS SERIES,not
"Prahalad, V; Harrison-Day, V; McQuillan, P; Creighton, C",Expanding fish productivity in Tasmanian saltmarsh wetlands through tidal reconnection and habitat repair,2019,MARINE AND FRESHWATER RESEARCH,not
"BALDWIN, JR; LOVVORN, JR","EXPANSION OF SEAGRASS HABITAT BY THE EXOTIC ZOSTERA-JAPONICA, AND ITS USE BY DABBLING DUCKS AND BRANT IN BOUNDARY BAY, BRITISH-COLUMBIA",1994,MARINE ECOLOGY PROGRESS SERIES,not
"Scapin, L; Zucchetta, M; Bonometto, A; Feola, A; Brusa, RB; Sfriso, A; Franzoi, P",Expected Shifts in Nekton Community Following Salinity Reduction: Insights into Restoration and Management of Transitional Water Habitats,2019,WATER,not
"J de Fouw, LL Govers, MJA Cristianen…","Experimental evidence linking abiotic stress, mutualism breakdown and habitat degradation in seagrasses",2014,… on seagrass …,not
"Ros, A; Colomer, J; Serra, T; Pujol, D; Soler, M; Casamitjana, X",Experimental observations on sediment resuspension within submerged model canopies under oscillatory flow,2014,CONTINENTAL SHELF RESEARCH,not
"RAY, M; STONER, AW",EXPERIMENTAL-ANALYSIS OF GROWTH AND SURVIVORSHIP IN A MARINE GASTROPOD AGGREGATION - BALANCING GROWTH WITH SAFETY IN NUMBERS,1994,MARINE ECOLOGY PROGRESS SERIES,not
"Valentine, JF; Heck, KL; Blackmon, D; Goecker, ME; Christian, J; Kroutil, RM; Peterson, BJ; Vanderklift, MA; Kirsch, KD; Beck, M",Exploited species impacts on trophic linkages along reef-seagrass interfaces in the Florida keys,2008,ECOLOGICAL APPLICATIONS,not
X Ouyang,Exploring Carbon Mineralisation and Burial in Coastal Wetlands,2017,Thesis,not
"Viana, IG; Siriwardane-de Zoysa, R; Willette, DA; Gillis, LG",Exploring how non-native seagrass species could provide essential ecosystems services: a perspective on the highly invasive seagrass Halophila stipulacea in the Caribbean Sea,2019,BIOLOGICAL INVASIONS,not
"Berkstrom, C; Gullstrom, M; Lindborg, R; Mwandya, AW; Yahya, SAS; Kautsky, N; Nystrom, M",Exploring 'knowns' and 'unknowns' in tropical seascape connectivity with insights from East African coral reefs,2012,ESTUARINE COASTAL AND SHELF SCIENCE,not
"Carr, J; Mariotti, G; Fahgerazzi, S; McGlathery, K; Wiberg, P",Exploring the Impacts of Seagrass on Coupled Marsh-Tidal Flat Morphodynamics,2018,FRONTIERS IN ENVIRONMENTAL SCIENCE,not
"Tarya, A; Hoitink, AJF; Van der Vegt, M; van Katwijk, MM; Hoeksema, BW; Bouma, TJ; Lamers, LPM; Christianen, MJA",Exposure of coastal ecosystems to river plume spreading across a near-equatorial continental shelf,2018,CONTINENTAL SHELF RESEARCH,not
"Harris, PT; Westerveld, L; Nyberg, B; Maes, T; Macmillan-Lawler, M; Appelquist, LR",Exposure of coastal environments to river-sourced plastic pollution,2021,SCIENCE OF THE TOTAL ENVIRONMENT,not
"Short, FT; Polidoro, B; Livingstone, SR; Carpenter, KE; Bandeira, S; Bujang, JS; Calumpong, HP; Carruthers, TJB; Coles, RG; Dennison, WC; Erftemeijer, PLA; Fortes, MD; Freeman, AS; Jagtap, TG; Kamal, AM; Kendrick, GA; Kenworthy, WJ; La Nafie, YA; Nasution, IM; Orth, RJ; Prathep, A; Sanciangco, JC; van Tussenbroek, B; Vergara, SG; Waycott, M; Zieman, JC",Extinction risk assessment of the world's seagrass species,2011,BIOLOGICAL CONSERVATION,not
"Gagnon, K; Rinde, E; Bengil, EGT; Carugati, L; Christianen, MJA; Danovaro, R; Gambi, C; Govers, LL; Kipson, S; Meysick, L; Pajusalu, L; Kizilkaya, IT; van de Koppel, J; van der Heide, T; van Katwijk, MM; Bostrom, C",Facilitating foundation species: The potential for plant-bivalve interactions to improve habitat restoration success,2020,JOURNAL OF APPLIED ECOLOGY,not
"Chin, DW; de Fouw, J; van de Heide, T; Cahill, BV; Katcher, K; Paul, VJ; Campbell, JE; Peterson, BJ",Facilitation of a tropical seagrass by a chemosymbiotic bivalve increases with environmental stress,2021,JOURNAL OF ECOLOGY,not
"Hammerschlag-Peyer, CM; Layman, CA","FACTORS AFFECTING RESOURCE USE VARIATION FOR AN ABUNDANT COASTAL FISH PREDATOR, LUTJANUS APODUS, IN A BAHAMIAN WETLAND SYSTEM",2012,BULLETIN OF MARINE SCIENCE,not
"GA Ballut-Dajud, LC Sandoval Herazo…",Factors Affecting Wetland Loss: A Review,2022,Land,not
"Caffrey, JM",Factors controlling net ecosystem metabolism in US estuaries,2004,ESTUARIES,not
"I Mazarrasa, P Lavery, CM Duarte…",Factors determining seagrass Blue Carbon across bioregions and geomorphologies,2021,Global …,not
"AB Novak, MC Pelletier, P Colarusso, J Simpson…","Factors influencing carbon stocks and accumulation rates in eelgrass meadows across New England, USA",2020,Estuaries and …,yes
"Rudershausen, PJ; Merrell, JH; Buckel, JA",Factors Influencing Colonization and Survival of Juvenile Blue Crabs Callinectes sapidus in Southeastern US Tidal Creeks,2021,DIVERSITY-BASEL,not
NS GUDRICH,FACTORS INFLUENCING SOIL CARBON STORE IN FOUR UK SALTMARSHES,2018,NA,yes
"RR Lane, SK Mack, JW Day, RD DeLaune…",Fate of soil organic carbon during wetland loss,2016,Wetlands,not
"F Guo, SY Lee, MJ Kainz, MT Brett",Fatty acids as dietary biomarkers in mangrove ecosystems: Current status and future perspective,2020,Science of The Total Environment,not
"Walton, MEM; Al-Maslamani, I; Chatting, M; Smyth, D; Castillo, A; Skov, MW; Le Vay, L",Faunal mediated carbon export from mangroves in an arid area,2021,SCIENCE OF THE TOTAL ENVIRONMENT,yes
[Anonymous],FAUNAL RELATIONSHIPS IN SEAGRASS AND MARSH ECOSYSTEMS - EPILOGUE,1984,ESTUARIES,not
"Macias, EB",Faunistic analysis of the caridean shrimps inhabiting seagrasses along the NW coast of the Gulf of Mexico and Caribbean Sea,2012,REVISTA DE BIOLOGIA TROPICAL,not
"EE Gaiser, MR Heithaus, L Ogden, RM Price",FCE II Year Six Annual Report For NSF Award DBI-0620409,2012,NA,not
"EE Gaiser, MR Heithaus, R Jaffe, J Kominoski…",FCE III Year Four Annual Report for NSF Award DBE-1237517 (2016),2016,NA,not
A Harms,Feasibility Study: Blue Carbon Finance in Louisiana's Deltaic Plain,2018,NA,yes
"Houser, C",Feedback between ridge and swale bathymetry and barrier island storm response and transgression,2012,GEOMORPHOLOGY,not
"Monteiro, DP; Giarrizzo, T; Isaac, V","Feeding Ecology of Juvenile Dog Snapper Lutjanus jocu (Bloch and Shneider, 1801) (Lutjanidae) in Intertidal Mangrove Creeks in Curuca Estuary (Northern Brazil)",2009,BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,not
"Rezaie-Atagholipour, M; Imani, F; Ghezellou, P; Seminoff, JA",Feeding ecology of juvenile green turtles in food-poor habitats of the Persian Gulf,2021,MARINE BIOLOGY,not
"Arceo-Carranza, D; Chiappa-Carrara, X",Feeding ecology of juvenile marine fish in a shallow coastal lagoon of southeastern Mexico,2015,LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,not
